smorf_id	chrom	strand	smorf_cds_start	smorf_cds_end	n_cds_blocks	smorf_record_type	n_compatible_tx	n_gencode	n_encode	n_espresso	n_parent	n_tx_nmd	nmd_any	nmd_all	n_tx_nsd	nsd_any	nsd_all	n_tx_nsd_confident	nsd_confident_any	n_tx_nsd_truncated_model	nsd_transcripts	cds_internal_stops	cds_geometry_ok	n_tx_main_orf_not_full	main_orf_not_full_any	n_tx_main_orf_start_lost	n_tx_smorf_is_primary_orf	smorf_is_primary_orf_any	host_genes	truncated_main_orf_transcripts	primary_orf_transcripts	nmd_transcripts	disruption_tiers	disruption_qualifying_any	nmd_and_disrupted_any	n_tx_nmd_and_disrupted	nmd_and_disrupted_transcripts	decay_class_counts	geometry_source_biotype
A0A087WTX8	chr5	+	78415541	78416588	2	TrEMBL_recovered	42	22	18	1	1	39	TRUE	FALSE	42	TRUE	TRUE	39	TRUE	2	GENCODE_v50:ENST00001109831.1;GENCODE_v50:ENST00000618166.5;GENCODE_v50:ENST00000878187.2;GENCODE_v50:ENST00000878188.2;GENCODE_v50:ENST00000920041.2;GENCODE_v50:ENST00000962697.2;GENCODE_v50:ENST00001120899.1;GENCODE_v50:ENST00001122798.1;GENCODE_v50:ENST00001132453.1;GENCODE_v50:ENST00001016252.1;GENCODE_v50:ENST00001016259.1;GENCODE_v50:ENST00001016260.1;GENCODE_v50:ENST00001016255.1;GENCODE_v50:ENST00001016253.1;GENCODE_v50:ENST00001016257.1;GENCODE_v50:ENST00000978471.1;GENCODE_v50:ENST00000614488.4;GENCODE_v50:ENST00000978472.1;GENCODE_v50:ENST00000621999.5;GENCODE_v50:ENST00001016261.1	0	TRUE	35	TRUE	2	0	FALSE	SCAMP1	GENCODE_v50:ENST00001109831.1;GENCODE_v50:ENST00000618166.5;GENCODE_v50:ENST00000878187.2;GENCODE_v50:ENST00000878188.2;GENCODE_v50:ENST00000920041.2;GENCODE_v50:ENST00000962697.2;GENCODE_v50:ENST00001120899.1;GENCODE_v50:ENST00001122798.1;GENCODE_v50:ENST00001016252.1;GENCODE_v50:ENST00001016259.1;GENCODE_v50:ENST00001016260.1;GENCODE_v50:ENST00001016255.1;GENCODE_v50:ENST00001016253.1;GENCODE_v50:ENST00001016257.1;GENCODE_v50:ENST00000978471.1;GENCODE_v50:ENST00000614488.4;GENCODE_v50:ENST00000978472.1;GENCODE_v50:ENST00000511551.2;GENCODE_v50:ENST00001016261.1;GENCODE_v50:ENST00000510030.2		GENCODE_v50:ENST00001109831.1;GENCODE_v50:ENST00000618166.5;GENCODE_v50:ENST00000878187.2;GENCODE_v50:ENST00000878188.2;GENCODE_v50:ENST00000920041.2;GENCODE_v50:ENST00000962697.2;GENCODE_v50:ENST00001120899.1;GENCODE_v50:ENST00001122798.1;GENCODE_v50:ENST00001132453.1;GENCODE_v50:ENST00001016252.1;GENCODE_v50:ENST00001016259.1;GENCODE_v50:ENST00001016260.1;GENCODE_v50:ENST00001016255.1;GENCODE_v50:ENST00001016253.1;GENCODE_v50:ENST00001016257.1;GENCODE_v50:ENST00000978471.1;GENCODE_v50:ENST00000614488.4;GENCODE_v50:ENST00000978472.1;GENCODE_v50:ENST00000621999.5;GENCODE_v50:ENST00001016261.1	C	TRUE	FALSE	0		nsd_predicted_no_stop:42	protein_coding
A0A087WTY1	chr13	+	27648437	27665950	2	TrEMBL_recovered	28	7	17	2	2	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	28	TRUE	11	3	TRUE	POLR1D	GENCODE_v50:ENST00000994519.1;GENCODE_v50:ENST00000637180.1;GENCODE_v50:ENST00000621089.2;GENCODE_v50:ENST00000693488.1;GENCODE_v50:ENST00000399697.7;GENCODE_v50:ENST00000637071.1;GENCODE_v50:ENST00000472179.2;ENCODE4:ENSG00000186184[3,29,4];ENCODE4:ENSG00000186184[3,29,5];ENCODE4:ENSG00000186184[3,3,5];ENCODE4:ENSG00000186184[3,3,4];ENCODE4:ENSG00000186184[3,10,5];ENCODE4:ENSG00000186184[3,10,4];ENCODE4:ENSG00000186184[2,29,5];ENCODE4:ENSG00000186184[2,29,4];ENCODE4:ENSG00000186184[2,3,5];ENCODE4:ENSG00000186184[2,3,4];ENCODE4:ENSG00000186184[2,10,4];ENCODE4:ENSG00000186184[2,10,5];ENCODE4:ENSG00000186184[1,6,4]	GENCODE_v50:ENST00000472179.2;ESPRESSO:ENST00000399697.7;ESPRESSO:ENST00000472179.2		BC	TRUE	FALSE	0		nmd_immune_last_exon:28	exact_envelope_match
A0A087WUD3	chr4	+	108650656	108667262	3	TrEMBL_recovered	4	1	1	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	OSTC	GENCODE_v50:ENST00000613215.5;ENCODE4:ENSG00000198856[1,3,1];ESPRESSO:ENST00000613215.4;smORF_parent:A0A087WUD3	ESPRESSO:ENST00000613215.4		none	FALSE	FALSE	0		nmd_immune_last_exon:4	exact_envelope_match
A0A087WUN7	chr14	+	77708112	77717491	4	TrEMBL_recovered	4	1	1	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	SLIRP	GENCODE_v50:ENST00000613856.5;ENCODE4:ENSG00000119705[1,2,1];ESPRESSO:ENST00000613856.4;smORF_parent:A0A087WUN7	ESPRESSO:ENST00000613856.4		none	FALSE	FALSE	0		nmd_immune_last_exon:4	exact_envelope_match
A0A087WUV3	chr1	+	46340827	46344853	3	TrEMBL_recovered	7	3	2	1	1	7	TRUE	TRUE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	7	TRUE	0	1	TRUE	NSUN4	GENCODE_v50:ENST00001088157.1;GENCODE_v50:ENST00000978321.1;GENCODE_v50:ENST00000469918.5;ENCODE4:ENSG00000117481[1,11,1];ENCODE4:ENSG00000117481[1,11,2];ESPRESSO:ESPRESSO_chr1_841_7;smORF_parent:A0A087WUV3	ESPRESSO:ESPRESSO_chr1_841_7	GENCODE_v50:ENST00001088157.1;GENCODE_v50:ENST00000978321.1;GENCODE_v50:ENST00000469918.5;ENCODE4:ENSG00000117481[1,11,1];ENCODE4:ENSG00000117481[1,11,2];ESPRESSO:ESPRESSO_chr1_841_7;smORF_parent:A0A087WUV3	none	FALSE	FALSE	0		nmd_predicted_50nt:7	nonsense_mediated_decay
A0A087WVV1	chr1	-	35603270	35609342	3	TrEMBL_recovered	33	7	22	3	1	3	TRUE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	19	TRUE	6	3	TRUE	PSMB2	GENCODE_v50:ENST00000621781.5;GENCODE_v50:ENST00001099179.1;GENCODE_v50:ENST00001099180.1;smORF_parent:A0A087WVV1;GENCODE_v50:ENST00001081648.1;GENCODE_v50:ENST00000630477.1;ENCODE4:ENSG00000126067[1,4,3];ENCODE4:ENSG00000126067[1,6,3];ENCODE4:ENSG00000126067[3,6,3];ENCODE4:ENSG00000126067[4,3,3];ENCODE4:ENSG00000126067[1,4,6];ENCODE4:ENSG00000126067[1,6,6];ENCODE4:ENSG00000126067[4,3,6];ENCODE4:ENSG00000126067[1,4,8];ENCODE4:ENSG00000126067[3,4,8];ENCODE4:ENSG00000126067[1,6,8];ENCODE4:ENSG00000126067[4,3,8];ESPRESSO:ESPRESSO_chr1_648_29;ESPRESSO:ESPRESSO_chr1_648_26	GENCODE_v50:ENST00000630477.1;ESPRESSO:ESPRESSO_chr1_648_29;ESPRESSO:ESPRESSO_chr1_648_26	ENCODE4:ENSG00000126067[1,5,3];ENCODE4:ENSG00000126067[3,5,3];ENCODE4:ENSG00000126067[1,5,6]	BC	TRUE	FALSE	0		nmd_immune_last_exon:30;nmd_predicted_50nt:3	local_gtf
A0A087WW56	chr1	-	144960380	145092901	3	TrEMBL_recovered	11	3	6	1	1	11	TRUE	TRUE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	11	TRUE	0	1	TRUE	SRGAP2B	GENCODE_v50:ENST00000995090.1;GENCODE_v50:ENST00000619678.2;GENCODE_v50:ENST00001035814.1;ENCODE4:ENSG00000196369[2,6,1];ENCODE4:ENSG00000196369[2,9,8];ENCODE4:ENSG00000196369[1,9,6];ENCODE4:ENSG00000196369[1,6,6];ENCODE4:ENSG00000196369[1,9,7];ENCODE4:ENSG00000196369[1,6,7];ESPRESSO:ENST00000619678.2;smORF_parent:A0A087WW56	ESPRESSO:ENST00000619678.2	GENCODE_v50:ENST00000995090.1;GENCODE_v50:ENST00000619678.2;GENCODE_v50:ENST00001035814.1;ENCODE4:ENSG00000196369[2,6,1];ENCODE4:ENSG00000196369[2,9,8];ENCODE4:ENSG00000196369[1,9,6];ENCODE4:ENSG00000196369[1,6,6];ENCODE4:ENSG00000196369[1,9,7];ENCODE4:ENSG00000196369[1,6,7];ESPRESSO:ENST00000619678.2;smORF_parent:A0A087WW56	none	FALSE	FALSE	0		nmd_predicted_50nt:11	nonsense_mediated_decay
A0A087WW59	chr11	+	43942905	43943270	1	TrEMBL_recovered	6	1	3	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	0	FALSE	0	0	FALSE	C11orf96				none	FALSE	FALSE	0		not_applicable_single_exon:6	exact_envelope_match
A0A087WW72	chr1	+	46260791	46261015	1	TrEMBL_recovered	32	22	9	0	1	29	TRUE	FALSE	32	TRUE	TRUE	0	FALSE	3		4	FALSE	24	TRUE	5	0	FALSE	RAD54L	GENCODE_v50:ENST00000493985.5;GENCODE_v50:ENST00001071093.1;GENCODE_v50:ENST00001071094.1;GENCODE_v50:ENST00000932542.2;GENCODE_v50:ENST00000932546.2;GENCODE_v50:ENST00000932547.2;GENCODE_v50:ENST00001071090.1;GENCODE_v50:ENST00001071097.1;GENCODE_v50:ENST00001071098.1;GENCODE_v50:ENST00000997433.1;GENCODE_v50:ENST00001071101.1;GENCODE_v50:ENST00001071104.1;GENCODE_v50:ENST00001071105.1;GENCODE_v50:ENST00000655446.1;GENCODE_v50:ENST00000493032.5;GENCODE_v50:ENST00000472889.2;ENCODE4:ENSG00000085999[1,27,1];ENCODE4:ENSG00000085999[1,28,1];ENCODE4:ENSG00000085999[1,23,1];ENCODE4:ENSG00000085999[1,22,1]		GENCODE_v50:ENST00000442598.6;GENCODE_v50:ENST00000671528.2;GENCODE_v50:ENST00000932539.2;GENCODE_v50:ENST00000932541.2;GENCODE_v50:ENST00001071093.1;GENCODE_v50:ENST00001071094.1;GENCODE_v50:ENST00000932542.2;GENCODE_v50:ENST00000932546.2;GENCODE_v50:ENST00000932547.2;GENCODE_v50:ENST00001071090.1;GENCODE_v50:ENST00001145361.1;GENCODE_v50:ENST00001071097.1;GENCODE_v50:ENST00001071098.1;GENCODE_v50:ENST00000997433.1;GENCODE_v50:ENST00001071101.1;GENCODE_v50:ENST00001071104.1;GENCODE_v50:ENST00001071105.1;GENCODE_v50:ENST00000371975.9;GENCODE_v50:ENST00000655446.1;GENCODE_v50:ENST00000472889.2	C	TRUE	FALSE	0		nsd_predicted_no_stop:32	protein_coding
A0A087WW86	chr13	+	44989655	44989954	1	TrEMBL_recovered	4	1	1	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	GPALPP1	GENCODE_v50:ENST00000611650.1;ENCODE4:ENSG00000133114[1,2,2];ESPRESSO:ENST00000611650.1;smORF_parent:A0A087WW86	ESPRESSO:ENST00000611650.1		B	TRUE	FALSE	0		not_applicable_single_exon:4	exact_envelope_match
A0A087WWA2	chr16	+	1351966	1352311	3	TrEMBL_recovered	5	2	1	1	1	1	TRUE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	5	TRUE	0	1	TRUE	GNPTG	GENCODE_v50:ENST00000527137.3;GENCODE_v50:ENST00001058986.1;ENCODE4:ENSG00000090581[1,2,2];ESPRESSO:ENST00000527137.2;smORF_parent:A0A087WWA2	ESPRESSO:ENST00000527137.2	GENCODE_v50:ENST00001058986.1	B	TRUE	FALSE	0		nmd_immune_last_exon:4;nmd_predicted_50nt:1	exact_envelope_match
A0A087WWB9	chr1	-	153982102	153983523	6	TrEMBL_recovered	15	7	6	1	1	1	TRUE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	9	TRUE	3	1	TRUE	ENSG00000285641;RAB13	GENCODE_v50:ENST00000614713.4;GENCODE_v50:ENST00001128765.1;GENCODE_v50:ENST00001086852.1;GENCODE_v50:ENST00000495720.5;ENCODE4:ENSG00000143545[2,2,1];ENCODE4:ENSG00000143545[1,4,1];ENCODE4:ENSG00000143545[1,4,4];ENCODE4:ENSG00000143545[1,4,2];smORF_parent:A0A087WWB9	GENCODE_v50:ENST00000495720.5	GENCODE_v50:ENST00000648869.1	BC	TRUE	FALSE	0		nmd_immune_last_exon:14;nmd_predicted_50nt:1	local_gtf
A0A087WWE7	chr8	-	85214563	85217499	2	TrEMBL_recovered	12	7	3	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	12	TRUE	0	1	TRUE	RBIS	GENCODE_v50:ENST00000956035.2;GENCODE_v50:ENST00000929985.2;GENCODE_v50:ENST00000614462.5;GENCODE_v50:ENST00000545322.6;GENCODE_v50:ENST00000864767.2;GENCODE_v50:ENST00000929979.2;GENCODE_v50:ENST00000929986.2;ENCODE4:ENSG00000176731[1,6,1];ENCODE4:ENSG00000176731[1,6,2];ENCODE4:ENSG00000176731[1,7,2];ESPRESSO:ENST00000614462.4;smORF_parent:A0A087WWE7	ESPRESSO:ENST00000614462.4		none	FALSE	FALSE	0		nmd_immune_last_exon:12	exact_envelope_match
A0A087WWI1	chr6	-	166946731	166956182	3	TrEMBL_recovered	7	5	0	1	1	7	TRUE	TRUE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	7	TRUE	0	1	TRUE	RNASET2	GENCODE_v50:ENST00000998488.1;GENCODE_v50:ENST00000611959.2;GENCODE_v50:ENST00001096323.1;GENCODE_v50:ENST00001096322.1;GENCODE_v50:ENST00001129447.1;ESPRESSO:ENST00000611959.2;smORF_parent:A0A087WWI1	ESPRESSO:ENST00000611959.2	GENCODE_v50:ENST00000998488.1;GENCODE_v50:ENST00000611959.2;GENCODE_v50:ENST00001096323.1;GENCODE_v50:ENST00001096322.1;GENCODE_v50:ENST00001129447.1;ESPRESSO:ENST00000611959.2;smORF_parent:A0A087WWI1	B	TRUE	TRUE	1	ESPRESSO:ENST00000611959.2	nmd_predicted_50nt:7	nonsense_mediated_decay
A0A087WWP1	chr15	+	90467482	90473052	2	TrEMBL_recovered	2	1	0	0	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	2	TRUE	2	0	FALSE	IQGAP1	GENCODE_v50:ENST00000560373.1;smORF_parent:A0A087WWP1			C	TRUE	FALSE	0		nmd_immune_last_exon:2	protein_coding
A0A087WX00	chr12	-	110042377	110048495	2	TrEMBL_recovered	5	1	2	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	0	FALSE	0	0	FALSE	C12orf76				none	FALSE	FALSE	0		nmd_immune_last_exon:5	exact_envelope_match
A0A087WXN3	chr19	-	1986964	1990145	4	TrEMBL_recovered	2	1	0	0	1	0	FALSE	FALSE	2	TRUE	TRUE	0	FALSE	2		1	FALSE	2	TRUE	2	0	FALSE	BTBD2	GENCODE_v50:ENST00000592082.5;smORF_parent:A0A087WXN3			C	TRUE	FALSE	0		nsd_predicted_no_stop:2	protein_coding
A0A087WXR5	chr7	-	123542122	123557795	4	TrEMBL_recovered	5	1	2	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	5	TRUE	0	1	TRUE	NDUFA5	GENCODE_v50:ENST00000618945.5;ENCODE4:ENSG00000128609[1,9,9];ENCODE4:ENSG00000128609[1,9,3];ESPRESSO:ENST00000618945.4;smORF_parent:A0A087WXR5	ESPRESSO:ENST00000618945.4		none	FALSE	FALSE	0		nmd_immune_last_exon:5	exact_envelope_match
