smorf_id	category	itemRgb	chosen_tx_source	chosen_transcript_id	chosen_decay_class	chosen_disruption_tier	chosen_disruption_qualifying	n_categories_present	categories_present	n_compatible_tx	nsd_confident_tx	nsd_gate_reason	is_in_908_conjunction
A0A0A0MTF6	dark_green	0,100,0	ESPRESSO	ENST00000536616.5	nmd_unlikely_within_50nt	B	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A0A0MTN6	light_green	144,238,144	GENCODE_v50	ENST00000543936.8	nmd_immune_last_exon	none	FALSE	1	light_green	7	0	no_confident_nsd_tx	FALSE
A0A0B4J1Z1	firebrick	178,34,34	GENCODE_v50	ENST00000986342.1	nmd_predicted_50nt	none	FALSE	1	firebrick	36	0	no_confident_nsd_tx	FALSE
A0A0B4J1Z5	light_green	144,238,144	GENCODE_v50	ENST00000484743.6	nmd_immune_last_exon	none	FALSE	1	light_green	8	0	no_confident_nsd_tx	FALSE
A0A0B4J1Z8	gold	255,215,0	ESPRESSO	ENST00000486319.5	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	5	0	no_confident_nsd_tx	TRUE
A0A0B4J1Z9	light_green	144,238,144	GENCODE_v50	ENST00001102606.1	nmd_unlikely_within_50nt	none	FALSE	3	light_green;gold;firebrick	22	0	no_confident_nsd_tx	TRUE
A0A0B4J236	dark_green	0,100,0	GENCODE_v50	ENST00000697197.1	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	54	0	no_confident_nsd_tx	FALSE
A0A0B4J239	dark_green	0,100,0	ESPRESSO	ENST00000538631.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A0B4J254	light_green	144,238,144	GENCODE_v50	ENST00000553192.6	nmd_immune_last_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A0B4J259	light_green	144,238,144	GENCODE_v50	ENST00000549690.2	nmd_immune_last_exon	none	FALSE	1	light_green	3	0	no_confident_nsd_tx	FALSE
A0A0B4J270	dark_green	0,100,0	GENCODE_v50	ENST00000554909.1	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	26	0	no_confident_nsd_tx	FALSE
A0A0B4J294	light_green	144,238,144	GENCODE_v50	ENST00000568583.6	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A0B4J2A3	dark_green	0,100,0	GENCODE_v50	ENST00000587515.5	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	12	0	no_confident_nsd_tx	FALSE
A0A0B4J2B1	dark_green	0,100,0	ESPRESSO	ENST00000589056.5	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A0B4J2B4	dark_green	0,100,0	ESPRESSO	ENST00000233609.8	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	26	0	no_confident_nsd_tx	FALSE
A0A0B4J2C1	dark_green	0,100,0	GENCODE_v50	ENST00000538814.6	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	28	0	no_confident_nsd_tx	FALSE
A0A0B4J2D7	dark_green	0,100,0	ESPRESSO	ENST00000463558.3	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	5	0	no_confident_nsd_tx	FALSE
A0A0C4DG14	dark_green	0,100,0	ESPRESSO	ENST00000413017.2	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	6	0	no_confident_nsd_tx	FALSE
A0A0C4DGB0	light_green	144,238,144	GENCODE_v50	ENST00000860202.2	nmd_immune_last_exon	none	FALSE	1	light_green	34	0	no_confident_nsd_tx	FALSE
A0A0C4DGL3	dark_green	0,100,0	GENCODE_v50	ENST00000455976.7	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	30	0	no_confident_nsd_tx	FALSE
A0A0C4DH44	light_green	144,238,144	GENCODE_v50	ENST00000887281.1	nmd_immune_last_exon	none	FALSE	1	light_green	11	0	no_confident_nsd_tx	FALSE
A0A0C4DH51	dark_green	0,100,0	GENCODE_v50	ENST00000493337.5	nmd_immune_last_exon	B	TRUE	2	dark_green;firebrick	3	0	no_confident_nsd_tx	FALSE
A0A0C4DH61	gold	255,215,0	GENCODE_v50	ENST00000471779.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	2	0	no_confident_nsd_tx	TRUE
A0A0C4DH85	dark_green	0,100,0	GENCODE_v50	ENST00000552176.2	nmd_immune_last_exon	B	TRUE	4	dark_green;light_green;gold;firebrick	43	0	no_confident_nsd_tx	TRUE
A0A0C4DH89	light_green	144,238,144	GENCODE_v50	ENST00000548577.6	nmd_immune_last_exon	none	FALSE	3	light_green;gold;firebrick	10	0	no_confident_nsd_tx	TRUE
A0A0D9SFY7	gold	255,215,0	GENCODE_v50	ENST00000628285.3	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	3	0	no_confident_nsd_tx	TRUE
A0A0D9SGD0	dark_green	0,100,0	GENCODE_v50	ENST00000626701.2	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A0J9YWI3	dark_green	0,100,0	GENCODE_v50	ENST00000632570.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A0J9YXM1	dark_green	0,100,0	GENCODE_v50	ENST00000493469.5	nmd_immune_last_exon	B	TRUE	4	dark_green;light_green;gold;firebrick	20	0	no_confident_nsd_tx	TRUE
A0A0J9YXQ7	dark_green	0,100,0	GENCODE_v50	ENST00000632573.1	nmd_unlikely_within_50nt	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A0M3HER3	gold	255,215,0	GENCODE_v50	ENST00000587339.2	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	7	0	no_confident_nsd_tx	TRUE
A0A0R4J2E5	light_green	144,238,144	GENCODE_v50	ENST00000346330.6	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A0U1RQN3	light_green	144,238,144	GENCODE_v50	ENST00000608004.1	nsd_predicted_no_stop	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A0U1RQQ8	light_green	144,238,144	GENCODE_v50	ENST00000511927.3	nmd_immune_last_exon	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A0U1RRC4	dark_green	0,100,0	GENCODE_v50	ENST00000634509.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	3	0	no_confident_nsd_tx	FALSE
A0A0U1RRM2	nsd_intact	188,158,217	ENCODE4	ENSG00000122545[1,27,11]	nsd_predicted_no_stop	none	FALSE	3	dark_green;light_green;nsd_intact	4	2	confident_nsd_uncontradicted	FALSE
A0A140TA84	dark_green	0,100,0	GENCODE_v50	ENST00000590389.5	nmd_immune_last_exon	C	TRUE	3	dark_green;light_green;gold	4	0	no_confident_nsd_tx	TRUE
A0A140TA86	dark_green	0,100,0	GENCODE_v50	ENST00000587950.5	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	6	0	no_confident_nsd_tx	FALSE
A0A1B0GTB7	nsd_disrupted	106,61,154	GENCODE_v50	ENST00000625282.2	nsd_predicted_no_stop	B	TRUE	3	dark_green;light_green;nsd_disrupted	36	34	confident_nsd_uncontradicted	FALSE
A0A1B0GTZ6	dark_green	0,100,0	GENCODE_v50	ENST00000635932.1	not_applicable_single_exon	C	TRUE	2	dark_green;light_green	6	0	no_confident_nsd_tx	FALSE
A0A1B0GUP9	dark_green	0,100,0	GENCODE_v50	ENST00000401641.3	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	9	0	no_confident_nsd_tx	FALSE
A0A1B0GUT6	dark_green	0,100,0	GENCODE_v50	ENST00000461698.5	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	5	0	no_confident_nsd_tx	FALSE
A0A1B0GUY8	dark_green	0,100,0	GENCODE_v50	ENST00000437793.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A1B0GVF1	dark_green	0,100,0	GENCODE_v50	ENST00000636579.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A1B0GW03	light_green	144,238,144	GENCODE_v50	ENST00000564627.5	nmd_unlikely_within_50nt	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A1W2PPL1	light_green	144,238,144	GENCODE_v50	ENST00000639583.1	nmd_immune_last_exon	none	FALSE	1	light_green	3	0	no_confident_nsd_tx	FALSE
A0A1W2PQ25	dark_green	0,100,0	GENCODE_v50	ENST00000640545.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A1W2PQM0	light_green	144,238,144	GENCODE_v50	ENST00000462866.6	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A1W2PRE1	dark_green	0,100,0	ESPRESSO	ENST00000569295.6	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A1W2PRI6	gold	255,215,0	GENCODE_v50	ENST00000640056.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	3	0	no_confident_nsd_tx	TRUE
A0A1W2PRU0	light_green	144,238,144	GENCODE_v50	ENST00000638926.1	nmd_immune_last_exon	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A1W2PS52	light_green	144,238,144	GENCODE_v50	ENST00000640406.2	nmd_immune_last_exon	none	FALSE	1	light_green	7	0	no_confident_nsd_tx	FALSE
A0A1W2PS58	light_green	144,238,144	GENCODE_v50	ENST00000992995.1	nmd_unlikely_within_50nt	none	FALSE	3	light_green;gold;firebrick	3	0	no_confident_nsd_tx	TRUE
A0A1W2PSE9	dark_green	0,100,0	GENCODE_v50	ENST00000640721.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	3	0	no_confident_nsd_tx	FALSE
A0A286YF95	dark_green	0,100,0	GENCODE_v50	ENST00000641629.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	192	0	no_confident_nsd_tx	FALSE
A0A286YFE1	dark_green	0,100,0	GENCODE_v50	ENST00000493622.5	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	37	0	no_confident_nsd_tx	FALSE
A0A2R8Y5S5	light_green	144,238,144	GENCODE_v50	ENST00000992110.1	nmd_unlikely_within_50nt	none	FALSE	2	light_green;firebrick	5	0	no_confident_nsd_tx	FALSE
A0A2R8Y677	dark_green	0,100,0	GENCODE_v50	ENST00000647139.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	19	0	no_confident_nsd_tx	FALSE
A0A2R8Y6S7	dark_green	0,100,0	GENCODE_v50	ENST00000643019.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A2R8Y798	gold	255,215,0	ESPRESSO	ESPRESSO_chr1_154_23	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	6	0	no_confident_nsd_tx	TRUE
A0A2R8Y7R2	light_green	144,238,144	GENCODE_v50	ENST00000485743.2	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A2R8Y7W1	dark_green	0,100,0	GENCODE_v50	ENST00000644521.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A2R8Y7W9	light_green	144,238,144	GENCODE_v50	ENST00000643611.2	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A2R8Y7Y9	gold	255,215,0	ESPRESSO	ENST00000643596.1	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	4	0	no_confident_nsd_tx	TRUE
A0A2R8Y839	dark_green	0,100,0	GENCODE_v50	ENST00000482363.2	nmd_immune_last_exon	B	TRUE	3	dark_green;light_green;firebrick	71	0	no_confident_nsd_tx	FALSE
A0A2R8Y849	light_green	144,238,144	GENCODE_v50	ENST00000485708.7	nmd_immune_last_exon	none	FALSE	1	light_green	10	0	no_confident_nsd_tx	FALSE
A0A2R8Y8A2	dark_green	0,100,0	GENCODE_v50	ENST00000644463.1	unresolved_stop_past_tx_end	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A2R8YEI8	dark_green	0,100,0	GENCODE_v50	ENST00000473802.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	60	0	no_confident_nsd_tx	FALSE
A0A2R8YEK1	dark_green	0,100,0	ESPRESSO	ENST00000643716.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A2R8YFI0	gold	255,215,0	GENCODE_v50	ENST00000643326.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	2	0	no_confident_nsd_tx	TRUE
A0A2U3TZJ4	firebrick	178,34,34	GENCODE_v50	ENST00001000260.1	nmd_predicted_50nt	none	FALSE	1	firebrick	7	0	no_confident_nsd_tx	FALSE
A0A2Y9D085	dark_green	0,100,0	GENCODE_v50	ENST00000640240.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	9	0	no_confident_nsd_tx	FALSE
A0A3B3IRN8	dark_green	0,100,0	ESPRESSO	ENST00000647835.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	20	0	no_confident_nsd_tx	FALSE
A0A3B3IRP2	dark_green	0,100,0	GENCODE_v50	ENST00000648658.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A3B3ISE5	dark_green	0,100,0	GENCODE_v50	ENST00000490860.1	nmd_immune_last_exon	BC	TRUE	3	dark_green;light_green;firebrick	30	0	no_confident_nsd_tx	FALSE
A0A3B3ITD7	light_green	144,238,144	GENCODE_v50	ENST00000650311.1	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A3B3ITE9	light_green	144,238,144	GENCODE_v50	ENST00000489724.3	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A3B3ITX0	light_green	144,238,144	GENCODE_v50	ENST00000475465.2	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A3B3IU32	firebrick	178,34,34	GENCODE_v50	ENST00000648835.1	nmd_predicted_50nt	none	FALSE	1	firebrick	2	0	no_confident_nsd_tx	FALSE
A0A3B3IUE0	dark_green	0,100,0	GENCODE_v50	ENST00000549628.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	18	0	no_confident_nsd_tx	FALSE
A0A494BXY3	dark_green	0,100,0	ESPRESSO	ENST00000525675.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	5	0	no_confident_nsd_tx	FALSE
A0A494BZW4	dark_green	0,100,0	GENCODE_v50	ENST00000651258.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A494C034	gold	255,215,0	GENCODE_v50	ENST00000651731.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	2	0	no_confident_nsd_tx	TRUE
A0A494C0H6	light_green	144,238,144	GENCODE_v50	ENST00000331327.5	nsd_predicted_no_stop	none	FALSE	1	light_green	33	0	no_confident_nsd_tx	FALSE
A0A494C0Y0	gold	255,215,0	GENCODE_v50	ENST00000650773.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	3	0	no_confident_nsd_tx	TRUE
A0A494C144	light_green	144,238,144	GENCODE_v50	ENST00000651106.2	nmd_immune_last_exon	none	FALSE	2	light_green;firebrick	4	0	no_confident_nsd_tx	FALSE
A0A494C160	nsd_disrupted	106,61,154	ESPRESSO	ESPRESSO_chr19_14738_10	nsd_predicted_no_stop	B	TRUE	3	dark_green;light_green;nsd_disrupted	33	31	confident_nsd_uncontradicted	FALSE
A0A494C176	light_green	144,238,144	GENCODE_v50	ENST00000652575.1	not_applicable_single_exon	none	FALSE	2	light_green;gold	12	0	no_confident_nsd_tx	TRUE
A0A494C189	light_green	144,238,144	GENCODE_v50	ENST00000651623.2	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A494C1D0	firebrick	178,34,34	GENCODE_v50	ENST00000651314.1	nmd_predicted_50nt	none	FALSE	1	firebrick	2	0	no_confident_nsd_tx	FALSE
A0A494C1I1	dark_green	0,100,0	GENCODE_v50	ENST00000699631.1	nmd_immune_last_exon	BC	TRUE	4	dark_green;light_green;gold;firebrick	12	0	no_confident_nsd_tx	TRUE
A0A494C1M1	nsd_disrupted	106,61,154	ESPRESSO	ESPRESSO_chr1_392_21	nsd_predicted_no_stop	B	TRUE	3	dark_green;light_green;nsd_disrupted	61	59	confident_nsd_uncontradicted	FALSE
A0A494C1P5	gold	255,215,0	GENCODE_v50	ENST00000651717.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	4	0	no_confident_nsd_tx	TRUE
A0A494C1U4	dark_green	0,100,0	GENCODE_v50	ENST00000651610.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A590UJC9	gold	255,215,0	GENCODE_v50	ENST00000494081.5	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	2	0	no_confident_nsd_tx	TRUE
A0A590UJI2	dark_green	0,100,0	GENCODE_v50	ENST00000482532.5	nsd_predicted_no_stop	BC	TRUE	2	dark_green;light_green	47	0	no_confident_nsd_tx	FALSE
A0A590UJJ6	light_green	144,238,144	GENCODE_v50	ENST00000667897.2	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A5F9ZGW6	dark_green	0,100,0	GENCODE_v50	ENST00000672256.1	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A5F9ZHM5	dark_green	0,100,0	GENCODE_v50	ENST00000492611.5	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A5H1ZRQ9	gold	255,215,0	ESPRESSO	ENST00000458117.6	nmd_predicted_50nt	BC	TRUE	2	gold;firebrick	7	0	no_confident_nsd_tx	TRUE
A0A669KBK4	gold	255,215,0	GENCODE_v50	ENST00000673863.1	nmd_predicted_50nt	C	TRUE	2	gold;firebrick	2	0	no_confident_nsd_tx	TRUE
A0A6I8PLD9	dark_green	0,100,0	GENCODE_v50	ENST00000487350.5	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	17	0	no_confident_nsd_tx	FALSE
A0A6I8PRI0	dark_green	0,100,0	GENCODE_v50	ENST00000674293.1	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	44	0	no_confident_nsd_tx	FALSE
A0A6Q8PFX8	dark_green	0,100,0	GENCODE_v50	ENST00000549139.5	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	20	0	no_confident_nsd_tx	FALSE
A0A6Q8PG89	firebrick	178,34,34	GENCODE_v50	ENST00001055583.1	nmd_predicted_50nt	none	FALSE	1	firebrick	3	0	no_confident_nsd_tx	FALSE
A0A6Q8PGD7	light_green	144,238,144	GENCODE_v50	ENST00000676319.2	nmd_immune_last_exon	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A6Q8PGG8	dark_green	0,100,0	ESPRESSO	ENST00000505260.5	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	9	0	no_confident_nsd_tx	FALSE
A0A6Q8PGL0	dark_green	0,100,0	GENCODE_v50	ENST00000674614.1	nmd_immune_last_exon	B	TRUE	3	dark_green;gold;firebrick	12	0	no_confident_nsd_tx	TRUE
