transcript_ID,transcript_name,gene_ID,sample_1092_PAM41667,sample_1131_PAM44580,sample_1163_PAM44604,sample_1186_PAM43869,sample_1218_PAM43779,sample_1271_PAM44815,sample_1291_PAG71816,sample_1304_PAM44487,sample_5292_PAG75292,sample_5295_PAG77944,sample_5356_PAM42933,sample_579_PAG75663
ESPRESSO:chr8:28260:3,NA,NA,5.33,0,0,1.57,1.28,0,2.53,0,0,2.47,13.76,1.14
ENST00000310430.11,TNKS-201,ENSG00000173273.16,2.31,12.57,4.53,1.57,2.56,3.78,4,4.36,2.58,6.75,7.09,3.65
ESPRESSO:chr8:28275:16,NA,NA,0.58,4.83,0.12,0,0,2.25,1.37,7.75,0.64,1.32,6.67,0.46
ENST00000667251.1,MIR124-1HG-213,ENSG00000253230.11,1.59,0,0.06,0,2.88,1.98,0.95,3.39,1.47,0.49,0,2.89
ENST00000518557.5,MIR124-1HG-202,ENSG00000253230.11,9.51,1.29,0.04,0.12,13.1,10.09,2.11,3.39,11.52,3.95,1.95,6.09
ENST00000666267.1,MIR124-1HG-212,ENSG00000253230.11,0,1.29,0.04,0.12,2.38,0,2.11,3.39,0,3.95,1.95,0
ESPRESSO:chr8:28276:17,NA,NA,0.58,4.83,0.12,0,0,2.25,1.37,7.75,0.64,1.32,6.67,0.46
ENST00000382490.9,MSRA-202,ENSG00000175806.15,5.46,0,1.72,0,4.7,7.93,12.28,2.34,10.74,10.69,5.46,9.46
ENST00000317173.9,MSRA-201,ENSG00000175806.15,4.09,0,0.38,7.14,0,0.39,1.59,2.34,0.55,0,5.46,1.16
ENST00000528246.5,MSRA-210,ENSG00000175806.15,9.55,0,1.34,0,7.84,8.7,0.71,2.34,1.65,4.37,5.46,4.48
ESPRESSO:chr8:28277:51,NA,ENSG00000175806.15,6.77,3.76,0.12,0,1.9,3.33,0.58,8.51,5.28,0,0.57,4.89
ESPRESSO:chr8:28277:49,NA,ENSG00000175806.15,2.18,2.11,0,0,0.78,3.95,1.26,3.33,5.28,0,5.28,7.52
ESPRESSO:chr8:28277:52,NA,ENSG00000175806.15,0,1.87,0.92,0,1.66,2.26,0.87,0,3.06,1.11,0.57,2.5
ESPRESSO:chr8:28277:38,NA,NA,5.91,0,0.18,0,1.6,0.81,0.74,0,2.58,1.81,8.34,2.89
ENST00000314787.8,PINX1-201,ENSG00000254093.9,0.72,0,2.81,2.3,2.24,1.44,2.09,0.48,3.67,3.08,0.83,1.51
ENST00000519088.5,PINX1-203,ENSG00000254093.9,0.72,0,1.53,1.33,2.13,1.13,3.48,0,1.44,2.14,0,0.96
ESPRESSO:chr8:28291:17,NA,ENSG00000184608.9,0,0,1.72,0.36,5.37,0.09,6.21,0.73,0.59,3.28,0,1.14
ENST00000436750.7,NEIL2-203,ENSG00000154328.16,3.78,0,7.5,1.47,5.53,9.31,8.72,2.91,10.59,7.55,0.91,9.99
ENST00000524741.1,NEIL2-205,ENSG00000154328.16,0.58,0,1.35,0.6,1.39,2.43,1.47,0,2.67,0.33,0,1.45
ENST00000284503.7,NEIL2-201,ENSG00000154328.16,0.87,0,0.58,0.16,0.81,1.49,2.77,0.97,0.95,0.51,0,1.02
ENST00000455213.6,NEIL2-204,ENSG00000154328.16,2.62,0,0.5,0,0.54,2.11,1.06,0,0.95,1.51,3.19,1.13
ENST00000220584.9,FDFT1-201,ENSG00000079459.13,53.36,2.32,121.49,36.11,71.78,185.98,83.93,23.24,86.89,87.37,17.01,72.73
ENST00000527045.1,FDFT1-211,ENSG00000079459.13,0.43,0,1.04,0.24,1.5,1.44,3.05,1.45,2.58,0.82,0,0.61
ENST00000525777.5,FDFT1-208,ENSG00000079459.13,1.88,0,11.25,1.47,5.43,5.52,9.66,0,3.33,3.85,0,2.06
ENST00000525954.5,FDFT1-210,ENSG00000079459.13,3.17,0.14,17.81,1.08,16.13,5.55,21.64,0,8.29,5.25,0.09,2.32
ESPRESSO:chr8:28299:11,NA,ENSG00000079459.13,0.14,1.06,0.98,0.37,1.51,2.45,0.42,0,0.83,1.84,0,0.71
ENST00000420692.7,CTSB-203,ENSG00000164733.22,4.8,4.51,2.47,5.49,2.71,5.69,3.11,0,6.98,5.57,0,7.37
ENST00000453527.7,CTSB-204,ENSG00000164733.22,1.08,0,1.41,1.02,0.77,1.73,2.28,0.01,1.82,2.41,1.18,1.39
ENST00000678242.1,CTSB-252,ENSG00000164733.22,4.51,0,6.76,6.59,3.03,13.95,8.47,0.02,9.68,12.38,0,8.6
ENST00000532409.6,CTSB-223,ENSG00000164733.22,1.33,0.48,3.71,3.31,3.36,7.23,3.17,0.5,7.47,7.19,0.53,6.49
ENST00000353047.11,CTSB-202,ENSG00000164733.22,86.88,0,115.46,70.9,96.49,184.38,143.73,25.35,140.37,189.21,24.6,129.46
ENST00000676952.1,CTSB-236,ENSG00000164733.22,3.61,10.28,4.19,2.47,2.59,6.75,2.45,0,6.1,9.87,0,4.61
ENST00000526481.7,CTSB-211,ENSG00000164733.22,14.19,21.47,5.9,8.19,9.52,8.41,5.8,17.42,10.16,9.97,25.67,7.33
ESPRESSO:chr8:28300:21,NA,ENSG00000164733.22,1.01,0,0.43,1.21,0.85,1.53,1.16,0.48,0,0,2.09,0
ESPRESSO:chr8:28300:26,NA,ENSG00000164733.22,1.28,0,2.21,1.17,2.18,3.08,1.9,0,1.45,1.97,0,1.47
ESPRESSO:chr8:28300:3,NA,NA,6.05,2.9,1.72,4.6,5.23,8.74,1.79,4.36,9.12,4.77,8.34,5.1
ESPRESSO:chr8:28300:4,NA,NA,1.3,0.97,1.29,0.24,1.07,2.79,3.58,2.42,1.11,1.15,7.51,0.69
ENST00000641966.1,ENST00000641966,ENSG00000290829.1,4.32,6.77,0.31,0.36,4.16,8.65,4,0.97,2.76,3.29,12.93,4.64
ESPRESSO:chr8:28331:72,NA,NA,0,0.2,0.84,0.48,0.69,0,1.2,0.18,2.41,1.53,0.1,2.14
ESPRESSO:chr8:28331:52,NA,NA,6.49,15.47,2.63,0,1.71,3.51,0.63,1.94,3.32,3.79,17.1,2.13
ENST00000398246.8,LONRF1-201,ENSG00000154359.13,0,0,0.61,0.6,1.27,1.98,0.42,1.45,1.84,1.58,0,0.53
ENST00000511869.1,DLC1-209,ENSG00000164741.15,0,0,0.54,1.09,0.75,0.45,0.55,0.97,0.55,1.15,0,0.38
ENST00000358919.6,DLC1-203,ENSG00000164741.15,0,0,0.76,0.97,1.19,0,5.56,0.48,1.74,10.13,0.42,1.13
ESPRESSO:chr8:28341:29,NA,ENSG00000164741.15,0.14,1.93,0.73,0,1.06,1.08,1.07,0.48,1.38,1.28,0.42,0.82
ESPRESSO:chr8:28341:9,NA,NA,0,2.9,0,0,1.5,0.18,2,0,0,1.81,1.25,1.07
ESPRESSO:chr8:28348:11,NA,NA,1.3,2.42,0.49,0.48,0.11,1.71,3.37,3.87,1.11,5.1,4.17,0.99
ENST00000382020.8,TUSC3-201,ENSG00000104723.21,29.98,11.42,4.95,26.61,10.62,27.74,12.66,4.12,39.68,5.76,4.75,30.31
ENST00000503731.6,TUSC3-203,ENSG00000104723.21,36.74,9.81,1.36,12.94,11.1,18.72,7.44,7.21,27.81,4.33,1.25,34.88
ESPRESSO:chr8:28353:0,NA,NA,1.87,6.29,1.1,1.09,0.43,1.17,1.47,16.46,1.75,1.48,17.93,0.76
ESPRESSO:chr8:28354:0,NA,NA,1.87,6.29,1.1,1.09,0.43,1.17,1.47,16.46,1.75,1.48,17.93,0.76
ESPRESSO:chr8:28355:2,NA,NA,0.14,1.45,0.18,0.6,0.21,0.99,0.84,2.42,0.55,0.66,5,0.38
ENST00000262096.13,ZDHHC2-201,ENSG00000104219.13,2.74,0.8,5.33,9.68,9.72,5.67,9.08,2.78,6.91,6.91,1.39,5.41
ENST00000361272.9,CNOT7-201,ENSG00000198791.12,1.3,1.36,9.47,7.26,7.61,9.91,19.8,0.64,6.61,13.5,0.14,7.5
ENST00000521976.1,VPS37A-211,ENSG00000155975.10,0.66,3.38,1.59,1.37,1.2,1.71,0.21,0,1.75,0,1.67,0.76
ENST00000324849.9,VPS37A-201,ENSG00000155975.10,2.63,0,6.04,6.61,4.37,4.8,8.88,5.33,6.34,5.39,1.25,4.61
ENST00000180173.10,MTMR7-201,ENSG00000003987.14,1.73,2.42,1.31,0.73,0.53,2.19,1.26,0.73,2.49,1.4,2.29,1.49
ENST00000693296.1,MTUS1-230,ENSG00000129422.15,0.43,0.97,2.48,0.93,4.16,0.92,7.83,0.84,2.04,12.97,3.34,2.75
ENST00000251630.11,PDGFRL-201,ENSG00000104213.13,1.01,0,2.94,23.59,6.09,4.14,6.53,3.39,3.78,4.11,0,2.89
ENST00000297488.10,MTUS1-202,ENSG00000129422.15,0.43,0,7.75,0,1.63,0.31,1.91,0.84,1.83,3.52,0,1
ESPRESSO:chr8:28367:8,NA,NA,0.72,0.64,0.86,0,0.96,0.45,1.03,0.32,1.13,0.49,0.28,1.83
ENST00000523896.1,PCM1-219,ENSG00000078674.20,7.87,12.35,8.8,14.27,13.25,9.45,9.84,10.83,9.73,10.46,4.93,14.74
ENST00000524356.1,PCM1-222,ENSG00000078674.20,1.35,3.54,0.43,0.39,0.45,0.36,1.1,1.4,0,0,1.5,0.59
ENST00000518537.5,PCM1-205,ENSG00000078674.20,0,3.9,2.53,1.35,0.26,6.15,6.36,5.32,6.44,3.06,4.75,3.39
ENST00000517730.5,PCM1-203,ENSG00000078674.20,5.92,3.9,0.34,0,6.18,0,0.21,5.32,0,3.06,4.75,3.39
ENST00000519802.5,PCM1-212,ENSG00000078674.20,0.82,0,4.37,5.94,4.04,5.38,6.59,3.81,5.02,4.34,5.26,5.91
ESPRESSO:chr8:28369:20,NA,ENSG00000078674.20,4.64,0.16,8.43,2.19,6.17,5.42,1.19,0,9.28,0.74,7.12,4.09
ESPRESSO:chr8:28369:16,NA,ENSG00000078674.20,9.59,7.54,5.29,5.33,7.21,5.06,9.06,0.07,8.84,9.15,6.93,10.05
ESPRESSO:chr8:28369:13,NA,ENSG00000078674.20,3.77,0,0,1.94,1.08,0,1.5,0,2.39,0.37,1.33,0.32
ESPRESSO:chr8:28369:15,NA,ENSG00000078674.20,33.52,40.14,29.83,33.82,34.42,18.77,34.73,22.62,26.75,39.06,7.12,47.25
ESPRESSO:chr8:28369:8,NA,ENSG00000078674.20,3.46,7.74,1.79,2.06,4.07,2.48,2.76,3.82,0.81,6.91,2.5,4.49
ESPRESSO:chr8:28369:11,NA,ENSG00000078674.20,2,0,1.83,2.44,2.27,1.43,2.26,1,1.76,1.65,1.33,2.03
ENST00000637244.1,ASAH1-244,ENSG00000104763.20,2.34,0.14,19.34,9.07,11.22,7.11,17.14,0.61,10.96,19.19,0,7.62
ENST00000637790.2,ASAH1-257,ENSG00000104763.20,2.34,0.14,19.34,9.07,11.22,7.11,17.14,0.61,10.96,19.19,0,7.62
ENST00000518746.2,ASAH1-205,ENSG00000104763.20,0,0,2.09,0.97,0.75,1.8,1.05,0.97,1.57,2.97,0,1.52
ENST00000638028.1,ASAH1-267,ENSG00000104763.20,0.74,0,2.54,0.6,1.18,1.44,2.53,0,2.3,0.5,0,0.99
ENST00000637561.1,ASAH1-250,ENSG00000104763.20,7.29,5.52,26.66,4.23,46.91,14.57,5.44,6.05,41.68,18.72,3.54,94.23
ENST00000637898.1,ASAH1-263,ENSG00000104763.20,3.44,0.53,1.11,1.02,0.98,2.11,0.64,0,0.64,2.02,0,1.84
ENST00000523619.5,PSD3-218,ENSG00000156011.18,0.37,1.98,0.43,0.48,1.16,0.83,3.05,3.32,0,5.35,0,0.16
ENST00000428502.6,PSD3-203,ENSG00000156011.18,6.69,7.2,0.2,0,1.65,5.2,2.22,6.61,3.83,1.07,4.59,4.71
ESPRESSO:chr8:28381:12,NA,ENSG00000147408.16,0.36,0,1.07,0.85,1.58,1.67,1.41,0.24,0,0.33,0.42,1.45
ENST00000517546.1,INTS10-202,ENSG00000104613.12,3.17,3.87,1.1,0.6,4.7,1.8,3.16,2.42,6.54,2.96,7.09,5.03
ENST00000397977.8,INTS10-201,ENSG00000104613.12,17.23,3.77,14.99,17.13,14.8,19.48,22.23,3.33,12.62,23.69,6.81,10.81
ENST00000522081.1,INTS10-212,ENSG00000104613.12,1.3,0.73,0.12,1.33,0.75,3.35,0,4.36,0.33,0.82,0.63,1.16
ENST00000520985.1,INTS10-208,ENSG00000104613.12,0.72,0,0.74,0.48,1.92,3.96,3.37,0,1.57,3.29,0,1.37
ESPRESSO:chr8:28382:14,NA,ENSG00000104613.12,6.93,3.77,0,0,3.18,2.4,0,3.33,2.73,0,6.81,0
ESPRESSO:chr8:28382:15,NA,ENSG00000104613.12,16.75,11.25,3.79,0.18,7,9.36,9.31,8.34,20.13,5.66,12.95,17.26
ENST00000650287.1,LPL-207,ENSG00000175445.17,0,0,1.4,0.12,1.17,5.79,3.95,0.48,2.21,3.86,0,0.38
ENST00000276390.7,ATP6V1B2-201,ENSG00000147416.11,24.51,4.1,23.64,6.65,11.69,109.53,16.96,11.98,52.27,14.07,0.63,58.83
ENST00000519667.1,ATP6V1B2-202,ENSG00000147416.11,4.76,2.42,0.55,0.73,0.11,4.86,0.21,5.45,1.66,0.82,1.67,1.22
ESPRESSO:chr8:28386:6,NA,ENSG00000147416.11,0.43,4.1,0.56,0,0.6,1.79,0,0,1.71,1.41,0.63,0.48
ESPRESSO:chr8:28390:25,NA,NA,1.01,4.83,1.96,0.73,0.43,0,0.84,11.62,0.74,1.48,5,1.45
ESPRESSO:chr8:28391:6,NA,NA,1.01,4.83,1.96,0.73,0.43,0,0.84,11.62,0.74,1.48,5,1.45
ENST00000662848.3,ENST00000662848,ENSG00000254092.4,37.04,3.38,2.27,0,26.59,31.41,34.65,12.04,47.25,35.36,22.94,95.99
ENST00000252512.14,XPO7-201,ENSG00000130227.17,1.15,1.45,5.51,4.34,6.07,6.1,7.16,2.42,6.63,6.08,14.05,7.23
ESPRESSO:chr8:28396:8,NA,ENSG00000130227.17,5.19,2.42,0.43,0.37,1.19,2.64,0.53,0.48,2.77,1.66,6.38,1.52
ENST00000621538.4,NPM2-214,ENSG00000158806.14,1.88,1.45,0,0.85,1.9,3.16,2.53,0,6.74,1.97,0.43,2.41
ENST00000524322.1,NPM2-212,ENSG00000158806.14,4.04,4.83,0,0.97,2.35,1.35,0.42,3.39,2.21,3.13,8.34,3.96
ENST00000397940.5,NPM2-203,ENSG00000158806.14,2.88,0.72,0.05,0.19,3.46,2.86,1.93,0,4.8,3.43,0.67,4.11
ENST00000289820.10,NPM2-201,ENSG00000158806.14,13.16,0,0,2.06,3.3,8.37,2.59,5.68,11.71,6.05,7.7,6.26
ENST00000518119.6,NPM2-204,ENSG00000158806.14,3.18,0,0.14,0.37,0,2.09,0,1.89,0.89,0,17.34,2.87
ENST00000520456.5,NPM2-208,ENSG00000158806.14,29.45,15.17,0,3.91,16.58,11.1,10.61,17.69,14.65,14.62,25.74,12.51
ESPRESSO:chr8:28397:20,NA,ENSG00000158806.14,11.99,0.72,0.05,3.19,1.29,1.32,0.74,1.89,8.31,0,0.67,3.23
ESPRESSO:chr8:28397:19,NA,ENSG00000158806.14,2.58,6.3,0,0.19,1.44,6.5,0,3.77,0.71,0,0,3.01
ESPRESSO:chr8:28397:22,NA,ENSG00000158806.14,6.27,0,0,0.19,5.21,4.15,6.96,13.21,8.89,4.54,1.93,3.73
ESPRESSO:chr8:28397:15,NA,ENSG00000158806.14,7.3,0.32,0,1.45,0.68,1.29,1.9,0.16,2.18,1.41,3.34,1.55
ESPRESSO:chr8:28397:14,NA,ENSG00000158806.14,0.64,0,0,0.43,0,2.72,2.17,1.59,1.22,0,0,1.46
ESPRESSO:chr8:28397:17,NA,ENSG00000158806.14,4.5,0,0.51,0.87,2.11,3.25,2.22,13.21,2.48,1.52,0,3.25
ESPRESSO:chr8:28399:16,NA,ENSG00000158856.19,1.15,0.48,0,0,0.21,0.63,0,0,0.83,1.15,1.04,1.45
ESPRESSO:chr8:28399:23,NA,ENSG00000158856.19,0.86,2.32,0.06,0.02,0,1.02,0.16,0,1.23,0.43,8.96,1.62
ESPRESSO:chr8:28399:21,NA,ENSG00000158856.19,17.87,33.84,0.12,1.69,16.87,31.7,12.11,27.6,37.68,15.64,21.27,25.43
ESPRESSO:chr8:28400:7,NA,ENSG00000158863.22,1.59,0.97,0.75,3.02,2.46,2.94,1.79,5.81,4.23,1.32,1.25,1.37
ESPRESSO:chr8:28400:6,NA,ENSG00000158863.22,1.73,0.48,1.57,2.54,2.78,1.37,4.27,0,6.19,5.76,0.42,1.83
ENST00000522016.1,HR-206,ENSG00000168453.16,1.87,1.21,0,0,2.15,1.08,0.53,0.97,1.96,1.95,0.21,1.25
ESPRESSO:chr8:28402:2,NA,ENSG00000168453.16,0,1.21,1.35,0.12,0.94,0,0.84,0,2.09,1.67,0.21,0.73
ENST00000306306.8,REEP4-201,ENSG00000168476.12,2.68,0,2.97,3.58,2.56,2.26,1.33,0.73,2.62,1.41,0.83,0.95
ESPRESSO:chr8:28403:1,NA,ENSG00000168476.12,1.07,0,0.46,1.62,1.39,0.99,0.88,0.73,0.79,1.06,0.83,0.19
ENST00000306317.7,LGI3-201,ENSG00000168481.9,0.43,0,2.45,0,3.42,1.71,1.9,0,4.24,1.15,1.67,2.51
ESPRESSO:chr8:28404:8,NA,ENSG00000168484.13,2.64,1.21,1.64,0.3,1.21,1.98,1.43,0.18,2.17,0.11,2.6,0.38
ESPRESSO:chr8:28404:6,NA,ENSG00000168484.13,2.92,2.88,2.86,0,3.99,0.14,1.73,0.68,0.25,1.98,2.61,2.88
ESPRESSO:chr8:28404:7,NA,ENSG00000168484.13,0.26,1.21,3.33,0,3.58,0,0,0.18,0,1.58,2.11,1.65
ESPRESSO:chr8:28404:13,NA,ENSG00000168484.13,0.39,0.53,0.59,0,0,1.22,0.64,6.87,1.08,0,12.71,0.85
ENST00000306385.10,BMP1-202,ENSG00000168487.20,0.29,0.24,1.04,7.86,3.63,0.45,5.04,6.3,2.58,5.43,2.09,1.07
ENST00000454243.7,PHYHIP-202,ENSG00000168490.14,5.33,0.36,0.12,0,4.45,13.47,9.16,0.52,11.35,3.37,4.72,9.37
ESPRESSO:chr8:28406:40,NA,ENSG00000168490.14,6.48,1.02,0.06,0,2.15,5.74,5.95,6.75,4.82,1.9,2.98,5.78
ESPRESSO:chr8:28406:16,NA,NA,7.64,0,0,0,0.21,2.61,0.42,6.78,1.47,0.49,2.92,1.52
ESPRESSO:chr8:28406:41,NA,ENSG00000168490.14,0,2.03,0,0,1.9,10.19,2.9,0,9.51,0,0.37,4.5
ESPRESSO:chr8:28406:10,NA,NA,0.86,1.93,0,0,0.32,0.09,0.84,1.94,1.01,0.49,0.42,0.69
ESPRESSO:chr8:28406:13,NA,NA,4.18,1.93,0,0,0.75,1.35,0.42,0,0.92,0.66,3.75,1.07
ENST00000306433.9,POLR3D-201,ENSG00000168495.13,6.92,3.14,0.85,2.61,1,1.29,3.79,3.39,4.53,3.93,0,1.23
ENST00000397802.8,POLR3D-202,ENSG00000168495.13,0,3.14,3.38,1.63,4.66,3.22,2.53,0,4.32,1.18,7.92,4.93
ENST00000381237.6,SLC39A14-204,ENSG00000104635.15,3.03,0.97,0.74,0.06,0.96,2.07,2.21,1.69,0.74,0.99,1.46,0.57
ENST00000520207.2,SORBS3-208,ENSG00000120896.14,1.91,1.45,1.67,5.61,3.76,1.58,4.22,1.45,3.18,4.21,1.67,3.16
ENST00000517962.1,SORBS3-204,ENSG00000120896.14,0.86,0,1.22,1.94,2.03,0.99,0.84,0.48,0.83,3.95,0.42,0
ENST00000240139.10,PPP3CC-201,ENSG00000120910.15,6.05,0.24,1.7,0.3,2.85,9.07,2.43,1.21,5.24,2.17,1.88,10.09
ENST00000289963.12,PPP3CC-202,ENSG00000120910.15,1.87,0.48,0.83,4.48,1.86,1.53,4.28,0.24,0.74,2.96,0,2.03
ENST00000523965.5,SORBS3-221,ENSG00000120896.14,3.08,1.29,2.77,2.24,7.63,1.9,5.23,0,0,8.99,0.69,0.56
ENST00000240123.12,SORBS3-201,ENSG00000120896.14,3.08,1.29,2.77,6.74,3.79,1.9,18.78,0,8.15,8.99,0.69,0.56
ENST00000443561.3,PDLIM2-212,ENSG00000120913.24,8.11,4.49,5.33,14.92,36.67,14.32,45.56,6.3,19.84,28.21,2.5,12
ENST00000614502.4,PDLIM2-218,ENSG00000120913.24,10.15,5.73,13.31,14.77,59.01,6.49,37.63,7.02,20.06,21.37,4.17,15.59
ENST00000464275.5,PDLIM2-216,ENSG00000120913.24,10.15,5.73,0,14.77,0,6.49,37.63,7.02,20.06,21.37,4.17,15.59
ESPRESSO:chr8:28413:0,NA,ENSG00000120913.24,0,0.97,1.04,0.85,2.56,0.54,4.11,0,2.03,1.32,0,1.22
ENST00000308511.9,CCAR2-201,ENSG00000158941.17,12.69,12.57,5.68,2.57,9.61,15.32,6.49,6.23,13.46,7.99,13.35,9.75
ENST00000520489.5,BIN3-208,ENSG00000147439.14,0.43,0,0.56,0.56,1.4,0.66,2.24,0.97,1.85,1.54,0,0.91
ENST00000276416.11,BIN3-201,ENSG00000147439.14,5.1,1.93,5.77,7.08,8.69,13.57,10.29,2.68,14,3.83,4.67,7.36
ENST00000520536.1,CCAR2-204,ENSG00000158941.17,3.88,0,0.87,0.7,1.6,2.69,0.35,2.49,0.73,0.4,0,2.28
ESPRESSO:chr8:28414:9,NA,ENSG00000147439.14,0.23,0,1.54,0.49,0.67,2.65,1.29,0,1.93,2.37,4.09,1
ENST00000256404.8,PEBP4-201,ENSG00000134020.8,3.76,5.32,22.22,6.15,9.5,11.69,12.01,4.84,14.83,38.99,7.51,8.6
ENST00000356864.4,TNFRSF10C-201,ENSG00000173535.15,1.59,0,0.61,0.97,0.75,0.54,0.53,0.48,0.09,6.25,0.42,0.84
ENST00000312584.4,TNFRSF10D-201,ENSG00000173530.6,1.3,0.48,0.18,0.97,0.21,1.26,1.37,2.91,0,2.96,0,0.23
ENST00000521656.1,CHMP7-209,ENSG00000147457.14,1.15,0.48,1.65,1.69,0.75,1.44,0.95,0.48,1.75,1.32,0.83,2.36
ENST00000313219.8,CHMP7-201,ENSG00000147457.14,1.59,0,4.08,2.3,2.56,3.24,5.29,0.32,6.79,2.26,0,4.03
