orf_id,smorf_type,Database,in_cohort,qc_flags,disposition,n_peptides,has_site
ESPRESSO_chr1_49_19-chr1:1402086-1402331_F:1_P:3,Iso,Salk,True,[],analysed,1,False
ENST00000176643.11+chr17:19648812-19651548_F:0_P:1,uoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr3_21333_12-chr3:183971666-183971713_F:1_P:21,daoORF,Salk,True,[],analysed,1,False
ENST00000498392.1-chr3:49030393-49030596_F:2_P:26,daoORF,Salk,True,[],analysed,1,True
ENST00000375911.2-chr6:31658378-31658593_F:1_P:22,dORF,Salk,True,[],analysed,1,True
ENST00000609265.1+chr22:38043550-38043603_F:1_P:3,lncRNA,Salk,True,[],analysed,1,False
ENST00000382622.4+chr12:3491203-3491427_F:1_P:0,uaORF,Salk,True,[],analysed,1,True
ENST00000302536.3+chr16:77978639-77978683_F:1_P:27,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr19_14466_13+chr19:18340596-18340706_F:0_P:0,uoORF,Salk,True,[],analysed,3,True
ESPRESSO_chr20_18235_37-chr20:34742981-34743115_F:0_P:12,iORF,Salk,True,[],analysed,1,False
ENST00000681956.1+chr22:21697240-21697329_F:1_P:17,dORF,Salk,True,[],analysed,1,True
ENST00000464419.5+chrX:154444157-154445655_F:2_P:0,uoORF,Salk,True,[],analysed,1,False
ENST00000242261.6-chr7:19116952-19117269_F:0_P:3,iORF,Salk,True,[],analysed,2,True
ESPRESSO_chr19_14079_12+chr19:4219623-4222701_F:1_P:3,iORF,Salk,True,[],analysed,1,True
ENST00000379380.9+chr5:131204212-131204268_F:1_P:122,dORF,Salk,True,[],analysed,1,False
ENST00000323460.10+chr3:196933886-196933957_F:0_P:93,dORF,Salk,True,[],analysed,1,True
ENST00000366843.7-chr1:225489650-225489682_F:0_P:202,dORF,Salk,True,[],analysed,1,False
ENST00000320246.10+chr9:124257949-124257975_F:1_P:0,uaORF,Salk,True,[],analysed,1,False
ENST00000351559.10+chr17:46027861-46027965_F:1_P:70,dORF,Salk,True,[],analysed,1,True
ENST00000434301.1+chr2:100105302-100105370_F:0_P:1,lncRNA,Salk,True,[],analysed,2,True
ENST00000427426.1+chr1:633246-633410_F:0_P:3,psORF,Salk,True,[],analysed,1,False
ENST00000605082.1-chr4:184472346-184472411_F:2_P:5,lncRNA,Salk,True,[],analysed,1,False
ENST00000258418.10+chr2:230712842-230759959_F:2_P:0,uORF,Salk,True,[],analysed,4,True
ESPRESSO_chr3_20834_4+chr3:123480426-123480563_F:0_P:18,eORF,Salk,True,[],analysed,1,False
ENST00000237841.5+chr12:3841958-3842038_F:2_P:35,psORF,Salk,True,[],analysed,1,True
ENST00000495043.5-chr1:38873253-38873276_F:2_P:0,lncRNA,Salk,True,[],analysed,1,False
ENST00000498097.5-chr2:99154522-99154563_F:0_P:1,iORF,Salk,True,[],analysed,1,True
ENST00000456928.2+chr12:4098394-4098810_F:1_P:22,psORF,Salk,True,[],analysed,1,True
ENST00000215570.8-chr19:2426430-2426687_F:0_P:1,dORF,Salk,True,[],analysed,1,True
ENST00000257359.7-chr11:130428398-130428607_F:1_P:0,uORF,Salk,True,[],analysed,1,True
ENST00000623972.1-chr10:85531044-85531115_F:2_P:0,eORF,Salk,True,[],analysed,1,True
ENST00000413042.3+chr7:23205787-23205828_F:1_P:0,lncRNA,Salk,True,[],analysed,1,False
ENST00000366988.5+chr1:212432922-212442605_F:0_P:0,uoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr16_11076_15-chr16:28112908-28112931_F:2_P:13,daoORF,Salk,True,[],analysed,1,False
ENST00000394729.6+chr3:53181238-53181491_F:0_P:5,iORF,Salk,True,[],analysed,1,True
ENST00000413691.2-chr4:173633881-173634102_F:0_P:8,psORF,Salk,True,[],analysed,1,True
ENST00000368814.8-chr1:151871907-151872191_F:1_P:54,dORF,Salk,True,[],analysed,2,False
ENST00000621632.5-chr14:94050686-94050787_F:2_P:36,dORF,Salk,True,[],analysed,1,True
ENST00000617053.3-chr19:46425822-46425917_F:2_P:38,dORF,Salk,True,[],analysed,1,True
ENST00000223215.10+chr7:130492085-130492171_F:2_P:0,uORF,Salk,True,[],analysed,1,True
ENST00000531747.2-chr11:9146632-9146727_F:0_P:21,iORF,Salk,True,[],analysed,1,True
ENST00000537226.3-chr12:133115718-133115864_F:2_P:90,daORF,Salk,True,[],analysed,1,True
ENST00000391440.3-chrX:135022362-135022541_F:2_P:0,uoORF,Salk,True,[],analysed,2,True
ENST00000472729.1+chr2:61888726-61888830_F:1_P:0,iORF,Salk,True,[],analysed,1,True
ENST00000335647.9-chr6:149601746-149603320_F:1_P:16,iORF,Salk,True,[],analysed,1,True
ENST00000557943.6-chr15:76215581-76215823_F:1_P:20,dORF,Salk,True,[],analysed,1,True
ENST00000610583.1+chr5:141374296-141374346_F:1_P:4,iORF,Salk,True,[],analysed,1,False
ENST00000284287.6+chr11:124570359-124570448_F:0_P:2,iORF,Salk,True,[],analysed,1,False
ESPRESSO_chr19_15399_3-chr19:55239655-55240975_F:1_P:2,iORF,Salk,True,[],analysed,1,True
ENST00000624794.1+chr4:4820453-4820563_F:2_P:2,eORF,Salk,True,[],analysed,2,False
ENST00000388712.7-chr9:86077479-86079321_F:2_P:2,uoORF,Salk,True,[],analysed,2,True
ENST00000693253.1+chr3:140489972-140490004_F:2_P:16,lncRNA,Salk,True,[],analysed,1,False
ENST00000438325.2+chr9:89450596-89450754_F:1_P:28,psORF,Salk,True,[],analysed,1,True
ENST00000529927.5+chr11:67611488-67611928_F:0_P:14,daoORF,Salk,True,[],analysed,1,False
ENST00000390666.4-chr5:113433683-113433712_F:1_P:15,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr11_4829_20+chr11:33656038-33660863_F:2_P:5,iORF,Salk,True,[],analysed,1,True
ENST00000308275.8+chr15:75938691-75938765_F:0_P:157,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr22_19837_2-chr22:43167147-43167230_F:0_P:5,dORF,Salk,True,[],analysed,1,True
ENST00000606164.1+chr2:88628228-88628380_F:2_P:2,lncRNA,Salk,True,[],analysed,1,False
ESPRESSO_chr16_11116_11-chr16:29873717-29878289_F:2_P:1,iORF,Salk,True,[],analysed,1,False
ENST00000379800.4-chr13:37103821-37103880_F:0_P:38,dORF,Salk,True,[],analysed,1,False
ENST00000647317.2+chr10:50754643-50754675_F:1_P:10,daoORF,Salk,True,[],analysed,1,False
ENST00000514985.6-chr5:42800686-42800706_F:0_P:16,dORF,Salk,True,[],analysed,1,False
ENST00000469796.7-chrX:109643730-109643759_F:1_P:70,dORF,Salk,True,[],analysed,1,False
ENST00000544050.1+chr12:4612672-4613515_F:1_P:1,iORF,Salk,True,[],analysed,1,True
ENST00000482410.5-chr10:112430810-112433323_F:1_P:5,Iso,Salk,True,[],analysed,1,True
ENST00000257548.10+chr12:109087256-109087324_F:1_P:52,dORF,Salk,True,[],analysed,1,False
ENST00000579842.5-chr17:82036628-82036986_F:0_P:0,Iso,Salk,True,[],analysed,1,False
ENST00000493362.1-chr9:83970695-83970784_F:1_P:0,Iso,Salk,True,[],analysed,1,False
ENST00000609883.3-chrX:72128203-72128268_F:0_P:53,dORF,Salk,True,[],analysed,1,False
ENST00000350777.7+chr11:119135719-119135793_F:1_P:55,dORF,Salk,True,[],analysed,1,False
ENST00000299163.7+chr10:100559353-100559520_F:2_P:183,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr7_27530_45+chr7:105112180-105112371_F:2_P:25,daoORF,Salk,True,[],analysed,1,True
ENST00000389005.6-chr17:3811288-3811383_F:0_P:61,dORF,Salk,True,[],analysed,1,True
ENST00000497413.1+chr9:136850510-136850844_F:1_P:3,Iso,Salk,True,[],analysed,1,True
ENST00000451791.7-chr8:56441570-56441686_F:1_P:6,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr11_4829_20+chr11:33668929-33668991_F:0_P:12,dORF,Salk,True,[],analysed,1,False
ENST00000285737.9+chr16:48353486-48353599_F:0_P:31,daORF,Salk,True,[],analysed,1,True
ENST00000663212.1-chr14:95524268-95524381_F:1_P:2,lncRNA,Salk,True,[],analysed,1,False
ENST00000610658.2+chr17:38749646-38749954_F:2_P:5,lncRNA,Salk,True,[],analysed,2,True
ESPRESSO_chr1_214_24+chr1:12508984-12509145_F:1_P:47,daoORF,Salk,True,[],analysed,1,True
ENST00000319466.9-chr2:46902621-46902680_F:2_P:46,dORF,Salk,True,[],analysed,1,False
ENST00000525966.1-chr11:14674125-14674172_F:2_P:9,psORF,Salk,True,[],analysed,1,False
ENST00000366843.7-chr1:225652686-225653123_F:2_P:0,uoORF,Salk,True,[],analysed,1,True
ENST00000223215.10+chr7:130499888-130500824_F:2_P:7,iORF,Salk,True,[],analysed,1,False
ENST00000360911.7-chr20:47224454-47229726_F:0_P:60,iORF,Salk,True,[],analysed,1,True
ENST00000409817.1-chr2:136116047-136116073_F:1_P:3,uaORF,Salk,True,[],analysed,1,False
ENST00000682777.1+chr10:27532507-27532593_F:1_P:6,Iso,Salk,True,[],analysed,1,False
ESPRESSO_chr1_170_9+chr1:9540342-9553673_F:0_P:4,iORF,Salk,True,[],analysed,2,True
ENST00000624919.1+chr22:44147545-44147754_F:1_P:92,lncRNA,Salk,True,[],analysed,1,True
ENST00000369905.9-chr10:102479755-102479928_F:2_P:21,daORF,Salk,True,[],analysed,1,True
ENST00000418695.1-chr22:38722744-38723001_F:0_P:13,psORF,Salk,True,[],analysed,3,True
ENST00000271277.11+chr1:112458569-112458658_F:0_P:67,dORF,Salk,True,[],analysed,1,False
ENST00000597793.5+chr19:49856613-49856702_F:0_P:5,iORF,Salk,True,[],analysed,1,True
ENST00000288699.11+chr2:26848132-26898558_F:1_P:0,uoORF,Salk,True,[],analysed,1,True
ENST00000624656.1+chr22:39135850-39136032_F:1_P:19,lncRNA,Salk,True,[],analysed,1,False
ENST00000575234.1+chr16:3309217-3309333_F:1_P:50,daORF,Salk,True,[],analysed,1,True
ENST00000686481.2+chr20:63628363-63628410_F:1_P:7,lncRNA,Salk,True,[],analysed,1,True
ENST00000567499.5-chr16:66731331-66731441_F:2_P:31,iORF,Salk,True,[],analysed,1,True
ENST00000647103.1+chr1:29117740-29117889_F:0_P:19,dORF,Salk,True,[],analysed,1,True
ENST00000264065.12+chr2:182786858-182786995_F:0_P:266,dORF,Salk,True,[],analysed,1,True
ENST00000623223.1+chr5:93601802-93601876_F:2_P:22,eORF,Salk,True,[],analysed,1,False
ENST00000430297.7+chr2:219184187-219184225_F:0_P:28,dORF,Salk,True,[],untestable_no_peptide,0,
ENST00000301391.8+chr17:4150012-4156910_F:2_P:13,iORF,Salk,True,[],analysed,1,True
ENST00000296220.6-chr3:125595087-125595416_F:2_P:2,uORF,Salk,True,[],analysed,1,True
ENST00000459782.1-chr6:107872821-107876624_F:2_P:22,iORF,Salk,True,[],analysed,1,False
ENST00000256433.6-chr18:47157475-47176360_F:1_P:1,uoORF,Salk,True,[],analysed,3,False
ENST00000645722.2+chr5:142770409-142770627_F:1_P:1,uORF,Salk,True,[],analysed,1,True
ENST00000310624.7+chr22:29490073-29490309_F:0_P:27,iORF,Salk,True,[],analysed,5,True
ENST00000609975.2-chr2:95525874-95526077_F:2_P:9,lncRNA,Salk,True,[],analysed,1,False
ENST00000371614.2-chr1:52033520-52033597_F:1_P:3,daoORF,Salk,True,[],analysed,1,True
ENST00000376362.1-chr9:83748807-83748938_F:2_P:6,iORF,Salk,True,[],analysed,1,False
ESPRESSO_chr17_13292_14+chr17:82930641-82937303_F:2_P:3,daoORF,Salk,True,[],analysed,1,True
ENST00000398559.7-chr3:69022762-69022797_F:2_P:83,dORF,Salk,True,[],analysed,1,True
ENST00000475697.5+chr1:51760369-51760437_F:1_P:12,iORF,Salk,True,[],analysed,1,True
ENST00000437653.1-chr3:175977536-175977673_F:1_P:8,psORF,Salk,True,[],analysed,2,False
ENST00000623631.2+chr3:171460783-171460923_F:1_P:2,lncRNA,Salk,True,[],analysed,1,True
ENST00000328853.11-chr19:7729142-7729384_F:2_P:9,doORF,Salk,True,[],analysed,1,True
ENST00000380281.6+chr12:49644470-49644544_F:1_P:24,dORF,Salk,True,[],analysed,1,False
ENST00000355899.8+chrX:115649730-115649780_F:0_P:6,dORF,Salk,True,[],analysed,1,False
ENST00000569449.1+chr4:155736071-155736160_F:2_P:30,dORF,Salk,True,[],analysed,1,False
ENST00000447404.6-chr9:123136470-123136511_F:2_P:42,daoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr19_13990_2+chr19:1244348-1244823_F:2_P:0,Iso,Salk,True,[],analysed,2,False
ENST00000326402.9-chr11:93146386-93146439_F:0_P:53,dORF,Salk,True,[],analysed,1,False
ENST00000372806.8+chr20:45079708-45079728_F:2_P:106,dORF,Salk,True,[],analysed,1,False
ENST00000623121.1-chr16:78525393-78525545_F:2_P:19,eORF,Salk,True,[],analysed,1,False
ENST00000471401.5-chr20:45775549-45791879_F:2_P:0,uoORF,Salk,True,[],analysed,1,True
ENST00000467889.3-chr15:68193257-68193319_F:2_P:22,dORF,Salk,True,[],analysed,1,True
ENST00000664445.2+chr21:16419198-16419293_F:0_P:0,lncRNA,Salk,True,[],analysed,1,True
ENST00000333337.3+chr21:33026568-33026915_F:0_P:8,uoORF,Salk,True,[],analysed,1,True
ENST00000674823.1-chr1:116402051-116402089_F:2_P:60,lncRNA,Salk,True,[],analysed,1,False
ENST00000393441.8+chr10:101354071-101479395_F:1_P:1,uoORF,Salk,True,[],analysed,1,True
ENST00000679454.1-chr2:24919875-24920237_F:2_P:0,uORF,Salk,True,[],analysed,1,True
ENST00000393745.8+chr5:175883405-175883779_F:0_P:25,dORF,Salk,True,[],analysed,1,False
ENST00000299163.7+chr10:100551874-100552026_F:2_P:67,dORF,Salk,True,[],analysed,1,True
ESPRESSO_chr2_17111_24-chr2:162446415-162504455_F:1_P:22,iORF,Salk,True,[],analysed,1,False
ENST00000417098.6-chr2:199457544-199457939_F:2_P:0,uORF,Salk,True,[],analysed,1,True
ENST00000394232.6+chr15:91295504-91295608_F:0_P:98,dORF,Salk,True,[],analysed,1,True
ENST00000257905.13-chr12:54584284-54588658_F:1_P:0,uoORF,Salk,True,[],analysed,2,True
ENST00000635637.1+chr7:129056281-129056418_F:1_P:17,psORF,Salk,True,[],analysed,1,True
ENST00000380516.7-chr15:58898838-58899549_F:0_P:43,daoORF,Salk,True,[],analysed,1,True
ENST00000426850.1+chr3:10276369-10276428_F:2_P:2,daoORF,Salk,True,[],analysed,1,False
ENST00000613011.1-chr14:18889328-18889417_F:1_P:25,psORF,Salk,True,[],analysed,1,True
ESPRESSO_chr1_1627_9-chr1:145164442-145164492_F:0_P:5,lncRNA,Salk,True,[],analysed,1,True
ESPRESSO_chr12_6867_9-chr12:53308528-53308990_F:1_P:9,iORF,Salk,True,[],analysed,1,False
ENST00000571021.1+chr17:50359411-50359650_F:1_P:6,iORF,Salk,True,[],analysed,2,True
ENST00000678139.2-chr2:222315909-222316121_F:2_P:46,dORF,Salk,True,[],analysed,2,False
ENST00000664347.1+chr5:88270293-88270322_F:1_P:18,lncRNA,Salk,True,[],analysed,1,False
ENST00000539966.6-chr13:98447256-98447336_F:1_P:92,dORF,Salk,True,[],analysed,1,True
ENST00000354981.7-chr20:16379789-16379836_F:1_P:53,iORF,Salk,True,[],analysed,1,True
ENST00000379757.9-chr6:7882520-7882561_F:1_P:11,dORF,Salk,True,[],analysed,1,True
ENST00000358776.7+chr10:123054967-123055044_F:1_P:49,dORF,Salk,True,[],analysed,1,True
ENST00000284268.8-chr5:14705440-14705517_F:0_P:101,dORF,Salk,True,[],analysed,1,True
ENST00000252136.12-chr22:20116979-20117185_F:1_P:1,uORF,Salk,True,[],analysed,1,True
ENST00000455509.1-chr1:210861355-210861429_F:0_P:12,psORF,Salk,True,[],analysed,1,False
ENST00000374720.8+chr9:105395977-105395997_F:2_P:178,daORF,Salk,True,[],analysed,1,True
ENST00000607967.1-chr10:102642919-102643365_F:0_P:2,lncRNA,Salk,True,[],analysed,2,True
ENST00000602252.5+chr19:49496432-49497195_F:2_P:0,uoORF,Salk,True,[],analysed,1,False
ENST00000250559.14+chr12:68669383-68669460_F:1_P:225,dORF,Salk,True,[],analysed,1,True
ENST00000329203.5-chr11:82731931-82731984_F:0_P:17,dORF,Salk,True,[],analysed,1,True
ENST00000265970.11-chr11:17168957-17169007_F:1_P:19,iORF,Salk,True,[],analysed,1,True
ENST00000526240.5-chr11:6396416-6396517_F:1_P:2,iORF,Salk,True,[],analysed,1,True
ENST00000389744.8+chr14:103654753-103654815_F:0_P:9,iORF,Salk,True,[],analysed,1,True
ENST00000399816.4+chr5:6495979-6496131_F:1_P:71,dORF,Salk,True,[],analysed,1,True
ENST00000376352.6+chr17:55165677-55165748_F:1_P:150,dORF,Salk,True,[],analysed,1,True
ENST00000611171.1-chr19:37315054-37315125_F:0_P:7,lncRNA,Salk,True,[],analysed,1,True
ENST00000599908.1-chr1:16601694-16601858_F:2_P:28,iORF,Salk,True,[],analysed,1,True
ENST00000684443.1-chr8:117806755-117806790_F:0_P:4,iORF,Salk,True,[],analysed,1,True
ENST00000651692.1-chr20:10404612-10404683_F:0_P:67,dORF,Salk,True,[],analysed,1,True
ENST00000323865.5-chr5:63960080-63960106_F:1_P:16,dORF,Salk,True,[],analysed,1,False
ENST00000400075.4+chr21:25735198-25735266_F:1_P:4,uORF,Salk,True,[],analysed,1,True
ENST00000338272.9+chr1:109096024-109096095_F:1_P:30,dORF,Salk,True,[],analysed,1,True
ENST00000296257.10+chr3:185619307-185619336_F:2_P:31,daoORF,Salk,True,[],analysed,1,True
ENST00000264896.8-chr4:76161046-76161195_F:0_P:34,dORF,Salk,True,[],analysed,1,True
ENST00000377861.4-chr13:67228034-67228078_F:2_P:19,iORF,Salk,True,[],analysed,1,True
ENST00000302764.9-chr5:163451759-163451896_F:1_P:54,dORF,Salk,True,[],analysed,1,True
ENST00000487638.5+chr2:71434979-71435056_F:1_P:9,dORF,Salk,True,[],analysed,1,True
ENST00000511987.5-chr17:51031191-51031289_F:0_P:17,iORF,Salk,True,[],analysed,1,True
ENST00000664153.3+chr11:10879009-10879137_F:0_P:8,lncRNA,Salk,True,[],analysed,1,True
ENST00000258484.11+chr2:148781695-148783699_F:2_P:35,iORF,Salk,True,[],analysed,1,True
ENST00000580891.1+chr18:9506242-9506319_F:1_P:0,lncRNA,Salk,True,[],analysed,1,False
