smorf_id	strand	outcome	n_peptides	old_thick	new_thick	new_cds_aa
E9PNH7	-	rephased	3	111908770-111910447	111908766-111910449	108
E9PNP3	+	rephased	1	77841185-77841185	77841185-77841299	38
E9PQ82	-	rephased	1	110264044-110272597	110264045-110272598	116
E9PQB7	-	rephased	1	65855417-65856192	65855419-65855699	25
E9PS23	-	rephased	1	65855973-65858097	65855933-65856026	31
F5GY40	+	rephased	2	4653565-4657812	4654892-4657810	31
F5GZG1	+	rephased	2	68652023-68657150	68611032-68657184	135
F5H077	+	rephased	1	68648726-68654182	68654141-68656461	89
F5H265	-	rephased	2	124913322-124913769	124913240-124913771	177
F5H292	-	rephased	1	30684300-30688454	30684302-30688474	90
F5H3K7	-	rephased	1	73677943-73760633	73677945-73760635	71
F5H4I5	+	rephased	1	230873484-230876960	230875691-230876967	76
F5H6I6	+	rephased	1	67281914-67292644	67281913-67292961	160
F5H6T5	-	rephased	1	48940103-48941093	48903748-48941032	185
F5H867	+	rephased	1	62881023-62881023	62881305-62881719	138
F6SXL5	-	rephased	1	31538830-31541194	31538831-31541195	136
F8VRZ4	-	no_frame_holds_all_peptides	1			
F8VTR7	+	rephased	1	112847815-112866839	112847813-112866837	80
F8VVJ4	+	rephased	1	49752495-49758686	49758413-49758684	23
F8VW30	+	rephased	1	48122776-48132980	48131381-48135161	247
F8VWU4	-	rephased	1	42128691-42130500	42128552-42130502	138
F8VX68	-	rephased	1	56282447-56285916	56276165-56283836	132
F8W060	-	rephased	2	76450900-76487549	76450902-76487551	52
F8W6P5	-	rephased	2	5226619-5227019	5226558-5226726	56
F8W7T0	+	rephased	1	116249163-116250288	116210729-116250286	128
F8W9K7	+	rephased	1	68032152-68033284	68033118-68033424	102
G3V2X9	-	rephased	1	68904701-68925580	68904703-68912207	84
G3V361	+	rephased	1	90401333-90404496	90404465-90404714	25
G3V4Y8	+	rephased	2	50591550-50613286	50588066-50621938	272
G3V542	+	rephased	1	89933518-89934806	89933517-89935801	378
H0Y8M3	+	rephased	1	37058904-37063978	37063946-37063976	10
H0YE44	-	rephased	1	10804296-10807293	10804298-10808717	121
H0YE90	-	rephased	1	143614862-143616151	143614864-143616462	136
H0YLI6	+	rephased	1	78157609-78162310	78161618-78162308	75
H0YNE7	+	rephased	1	49424472-49484460	49423429-49484459	136
H3BN34	-	rephased	1	72218942-72219095	72218944-72219010	22
H3BPV0	-	no_frame_holds_all_peptides	1			
H3BRM6	+	rephased	1	109688236-109690319	109688235-109693292	184
H3BUU3	+	rephased	1	28882502-28882580	28882501-28903701	869
H7C490	+	rephased	1	184834674-184834674	184838713-184838746	11
H7C516	+	rephased	1	45068494-45072786	45068495-45072784	134
I3L0P6	-	rephased	1	3679734-3686044	3677499-3686046	94
I3L1S3	+	rephased	1	82905957-82921576	82905955-82926438	198
I3L1Z0	+	rephased	1	24092818-24113065	23837222-24113063	189
I3L266	+	rephased	1	80221561-80225916	80221707-80225915	84
I3L3E4	+	rephased	1	80995104-80999145	80991634-80999144	191
I3NI53	-	rephased	1	21258780-21258780	21269741-21269891	50
J3KT46	+	rephased	1	8312040-8312388	8312207-8312741	178
J3QKK1	-	rephased	1	28574963-28575531	28573246-28575329	113
J3QQY7	+	no_frame_holds_all_peptides	2			
K4DIB4	-	rephased	1	794462-795004	794260-794777	85
K7EKD1	-	rephased	5	44911673-44913315	44911671-44913589	149
K7EM38	-	rephased	1	81510689-81510689	81511131-81511596	155
K7ER88	-	rephased	1	49795810-49802702	49795776-49802704	84
K7ES78	+	rephased	1	36141012-36142307	36141185-36142306	14
M0QX69	-	rephased	1	58556140-58556740	58556142-58556742	69
M0QY85	-	rephased	1	6496175-6502210	6495166-6501347	372
M0R0I9	+	rephased	1	53889738-53891827	53891699-53891825	42
M0R128	-	rephased	1	14515939-14515939	14516438-14516846	136
M0R140	+	rephased	1	41860775-41869084	41860774-41869083	102
M0R1A0	-	rephased	1	45940893-45953847	45940894-45953848	40
M0R2K6	-	rephased	1	4366502-4366932	4361602-4366934	285
M1EA23	+	rephased	1	158795372-158795372	158807611-158807824	71
Q5T7N0	+	rephased	1	92833622-92837469	92836207-92841835	174
Q5TAQ6	-	rephased	1	160240297-160244006	160217594-160240344	572
Q5TBU2	+	rephased	1	86968546-86970530	86968544-86970528	38
U3KPR7	+	rephased	1	36142912-36146228	36143122-36146278	79
U3KPS5	+	rephased	1	6869107-6869295	6869105-6869293	38
V9GYL3	+	rephased	1	46035028-46037275	46029128-46037274	150
