accession	gene_name	frame_shift	old_cds_nt	new_cds_nt	protein_aa	fasta_aa	internal_stops_before	ends_in_stop	runs_off_tx_3prime	old_cds	new_cds
E5RJR0		1	330	330	110	110	7	FALSE	TRUE	151137309-151137321,151138678-151138791,151139353-151139447,151140153-151140243,151147884-151147900	151137310-151137321,151138678-151138791,151139353-151139447,151140153-151140243,151147884-151147901
E5RJR4		1	363	363	121	121	4	FALSE	TRUE	160422589-160422893,160424237-160424294	160422588-160422893,160424237-160424293
E5RK23		2	318	318	106	106	5	FALSE	TRUE	111714371-111714443,111719805-111720049	111714373-111714443,111719805-111720051
E5RK27		2	324	324	108	108	10	FALSE	TRUE	42394260-42394278,42398712-42398864,42399651-42399703,42401788-42401886	42394258-42394278,42398712-42398864,42399651-42399703,42401788-42401884
E7ESK7		1	411	411	137	137	7	FALSE	TRUE	100924922-100925039,100948596-100948888	100924923-100925039,100948596-100948889
E7EUS7		1	303	303	101	101	4	FALSE	TRUE	36608425-36608604,36629450-36629572	36608424-36608604,36629450-36629571
E9PEW8		1	312	312	104	104	5	FALSE	TRUE	5233993-5234213,5234342-5234432	5233994-5234213,5234342-5234433
E9PJL7		2	387	387	129	129	8	FALSE	TRUE	111908903-111908967,111910327-111910449,111911524-111911722	111908905-111908967,111910327-111910449,111911524-111911724
E9PJL9		2	285	285	95	95	6	FALSE	TRUE	67608702-67608722,67609452-67609635,67610381-67610460	67608700-67608722,67609452-67609635,67610381-67610458
E9PJN9		1	108	108	36	36	3	FALSE	TRUE	75404049-75404156	75404048-75404155
E9PM95		2	384	384	128	128	12	FALSE	TRUE	36228032-36228280,36231340-36231466,36233153-36233160	36228034-36228280,36231340-36231466,36233153-36233162
E9PN15		2	168	168	56	56	6	FALSE	TRUE	109011576-109011718,109013841-109013865	109011578-109011718,109013841-109013867
E9PQ82		1	348	348	116	116	7	FALSE	TRUE	110264045-110264234,110264779-110264874,110272536-110272597	110264046-110264234,110264779-110264874,110272536-110272598
E9PQB7		2	366	366	122	122	7	FALSE	TRUE	65855418-65855448,65855654-65855730,65855935-65856192	65855420-65855448,65855654-65855730,65855935-65856194
E9PS23		2	270	270	90	90	6	FALSE	TRUE	65855974-65856242,65858097-65858097	65855976-65856242,65858097-65858099
F5GY40		2	447	447	149	149	7	FALSE	TRUE	4653566-4653678,4654292-4654462,4654825-4654922,4657748-4657812	4653564-4653678,4654292-4654462,4654825-4654922,4657748-4657810
F5GZG1		2	363	363	121	121	13	FALSE	TRUE	68652024-68652051,68654112-68654252,68656306-68656449,68657101-68657150	68652022-68652051,68654112-68654252,68656306-68656449,68657101-68657148
F5H077		2	252	252	84	84	5	FALSE	TRUE	68648727-68648781,68650400-68650468,68651995-68652051,68654112-68654182	68648725-68648781,68650400-68650468,68651995-68652051,68654112-68654180
F5H265		2	447	447	149	149	10	FALSE	TRUE	124913323-124913769	124913325-124913771
F5H292		2	252	252	84	84	3	FALSE	TRUE	30684301-30684457,30688360-30688454	30684303-30684457,30688360-30688456
F5H3K7		2	213	213	71	71	3	FALSE	TRUE	73677944-73677962,73679654-73679720,73730765-73730823,73760566-73760633	73677946-73677962,73679654-73679720,73730765-73730823,73760566-73760635
F5H4I5		2	366	366	122	122	5	FALSE	TRUE	230873485-230873557,230875620-230875808,230876857-230876960	230873483-230873557,230875620-230875808,230876857-230876958
F5H6I6		1	162	162	54	54	9	FALSE	TRUE	67281915-67282053,67292622-67292644	67281914-67282053,67292622-67292643
F6SXL5		1	408	408	136	136	1	FALSE	TRUE	31538831-31538855,31539147-31539274,31540322-31540534,31541153-31541194	31538832-31538855,31539147-31539274,31540322-31540534,31541153-31541195
F8VTR7		2	240	240	80	80	3	FALSE	TRUE	112847816-112847842,112865414-112865543,112866757-112866839	112847814-112847842,112865414-112865543,112866757-112866837
F8VVJ4		2	435	435	145	145	6	FALSE	TRUE	49752496-49752549,49752973-49753081,49755635-49755755,49758227-49758275,49758383-49758480,49758683-49758686	49752494-49752549,49752973-49753081,49755635-49755755,49758227-49758275,49758383-49758480,49758683-49758684
F8VW30		2	348	348	116	116	2	FALSE	TRUE	48122777-48122859,48130363-48130436,48131316-48131393,48132868-48132980	48122775-48122859,48130363-48130436,48131316-48131393,48132868-48132978
F8VWU4		2	273	273	91	91	3	FALSE	TRUE	42128692-42128800,42130337-42130500	42128694-42128800,42130337-42130502
F8VX68		2	360	360	120	120	10	FALSE	TRUE	56282448-56282608,56282860-56282991,56283792-56283857,56285916-56285916	56282450-56282608,56282860-56282991,56283792-56283857,56285916-56285918
F8W060		2	156	156	52	52	4	FALSE	TRUE	76450901-76450979,76459859-76459895,76487510-76487549	76450903-76450979,76459859-76459895,76487510-76487551
F8W6P5		2	270	270	90	90	8	FALSE	TRUE	5226620-5226799,5226930-5227019	5226622-5226799,5226930-5227021
F8W7T0		2	237	237	79	79	3	FALSE	TRUE	116249164-116249272,116250161-116250288	116249162-116249272,116250161-116250286
F8W9K7		1	372	372	124	124	7	FALSE	TRUE	68032153-68032209,68032286-68032336,68032923-68033012,68033111-68033284	68032152-68032209,68032286-68032336,68032923-68033012,68033111-68033283
G3V2X9		2	432	432	144	144	3	FALSE	TRUE	68904702-68904736,68909318-68909396,68909955-68910042,68912156-68912242,68921006-68921125,68925558-68925580	68904704-68904736,68909318-68909396,68909955-68910042,68912156-68912242,68921006-68921125,68925558-68925582
G3V361		1	294	294	98	98	10	FALSE	TRUE	90401334-90401402,90403862-90403968,90404379-90404496	90401333-90401402,90403862-90403968,90404379-90404495
G3V4Y8		1	225	225	75	75	4	FALSE	TRUE	50591551-50591639,50593846-50593896,50595576-50595632,50613259-50613286	50591550-50591639,50593846-50593896,50595576-50595632,50613259-50613285
H0Y8M3		2	450	450	150	150	6	FALSE	TRUE	37058905-37059165,37063790-37063978	37058903-37059165,37063790-37063976
H0YE90		2	99	99	33	33	1	FALSE	TRUE	143614863-143614915,143616106-143616151	143614865-143614915,143616106-143616153
H0YLI6		2	402	402	134	134	8	FALSE	TRUE	78157610-78157631,78160092-78160206,78161581-78161768,78162234-78162310	78157608-78157631,78160092-78160206,78161581-78161768,78162234-78162308
H0YNE7		1	366	366	122	122	9	FALSE	TRUE	49424473-49424583,49483151-49483254,49484310-49484460	49424472-49424583,49483151-49483254,49484310-49484459
H3BN34		2	153	153	51	51	4	FALSE	TRUE	72218943-72219095	72218945-72219097
H3BRM6		1	306	306	102	102	5	FALSE	TRUE	109688237-109688245,109688673-109688737,109689048-109689129,109689225-109689325,109690271-109690319	109688236-109688245,109688673-109688737,109689048-109689129,109689225-109689325,109690271-109690318
I3L1S3		2	351	351	117	117	5	FALSE	TRUE	82905958-82906053,82907761-82907821,82909285-82909307,82911758-82911789,82920556-82920618,82921501-82921576	82905956-82906053,82907761-82907821,82909285-82909307,82911758-82911789,82920556-82920618,82921501-82921574
I3L1Z0		2	357	357	119	119	10	FALSE	TRUE	24092819-24092947,24094163-24094297,24112973-24113065	24092817-24092947,24094163-24094297,24112973-24113063
I3L266		1	399	399	133	133	3	FALSE	TRUE	80221562-80221794,80223252-80223337,80225837-80225916	80221561-80221794,80223252-80223337,80225837-80225915
I3L3E4		1	339	339	113	113	7	FALSE	TRUE	80995105-80995106,80995672-80995758,80997007-80997072,80997261-80997341,80998366-80998420,80999098-80999145	80995104-80995106,80995672-80995758,80997007-80997072,80997261-80997341,80998366-80998420,80999098-80999144
J3QKK1		1	366	366	122	122	5	FALSE	TRUE	28574964-28575006,28575123-28575334,28575421-28575531	28574965-28575006,28575123-28575334,28575421-28575532
K4DIB4		2	195	195	65	65	2	FALSE	TRUE	794463-794513,794776-794901,794987-795004	794465-794513,794776-794901,794987-795006
K7EKD1		1	171	171	57	57	2	FALSE	TRUE	44911674-44911797,44913269-44913315	44911675-44911797,44913269-44913316
K7ER88		2	216	216	72	72	4	FALSE	TRUE	49795811-49795881,49797466-49797594,49802687-49802702	49795813-49795881,49797466-49797594,49802687-49802704
K7ES78		1	216	216	72	72	3	FALSE	TRUE	36141013-36141220,36142300-36142307	36141012-36141220,36142300-36142306
M0QX69		2	207	207	69	69	2	FALSE	TRUE	58556141-58556229,58556316-58556379,58556687-58556740	58556143-58556229,58556316-58556379,58556687-58556742
M0QY85		2	321	321	107	107	2	FALSE	TRUE	6496176-6496221,6501287-6501397,6501515-6501623,6502156-6502210	6496178-6496221,6501287-6501397,6501515-6501623,6502156-6502212
M0QZ80		1	402	402	134	134	3	FALSE	TRUE	50511732-50511773,50512136-50512290,50512360-50512564	50511733-50511773,50512136-50512290,50512360-50512565
M0R0I9		2	297	297	99	99	5	FALSE	TRUE	53889739-53889749,53889886-53890017,53891674-53891827	53889737-53889749,53889886-53890017,53891674-53891825
M0R140		1	306	306	102	102	4	FALSE	TRUE	41860776-41860845,41861112-41861212,41861480-41861560,41869031-41869084	41860775-41860845,41861112-41861212,41861480-41861560,41869031-41869083
M0R1A0		1	120	120	40	40	4	FALSE	TRUE	45940894-45940945,45953780-45953847	45940895-45940945,45953780-45953848
Q5T7N0		1	390	390	130	130	10	FALSE	TRUE	92833623-92833660,92834779-92834913,92836190-92836392,92837456-92837469	92833622-92833660,92834779-92834913,92836190-92836392,92837456-92837468
Q5TAQ6		2	120	120	40	40	4	FALSE	TRUE	160240298-160240370,160243960-160244006	160240300-160240370,160243960-160244008
Q5TBU2		2	114	114	38	38	1	FALSE	TRUE	86968547-86968605,86970476-86970530	86968545-86968605,86970476-86970528
U3KPR7		1	300	300	100	100	5	FALSE	TRUE	36142913-36142966,36143064-36143128,36145806-36145874,36145976-36146054,36146196-36146228	36142912-36142966,36143064-36143128,36145806-36145874,36145976-36146054,36146196-36146227
U3KPS5		2	114	114	38	38	1	FALSE	TRUE	6869108-6869183,6869258-6869295	6869106-6869183,6869258-6869293
V9GYL3		1	369	369	123	123	1	FALSE	TRUE	46035029-46035042,46035404-46035535,46035777-46035923,46036741-46036795,46037255-46037275	46035028-46035042,46035404-46035535,46035777-46035923,46036741-46036795,46037255-46037274
